pim,team,assists,plus_minus,points,league,games_played,year,age,goals
28,Barrie Flyers,36,0,64,OHA-Jr.,44,1959-60,19,28
21,Niagara Falls Flyers,28,0,64,OHA-Jr.,48,1960-61,20,36
0,Kingston Frontenacs,1,0,1,EPHL,1,1960-61,20,0
33,Clinton Comets,51,0,89,EHL,67,1961-62,21,38
0,Kingston Frontenacs,2,0,3,EPHL,5,1961-62,21,1
25,Kingston Frontenacs,53,0,87,EPHL,64,1962-63,22,34
18,Minneapolis Bruins,50,0,100,CPHL,72,1963-64,23,50
16,Providence Reds,30,0,55,AHL,64,1964-65,24,25
13,Hershey Bears,51,0,71,AHL,69,1965-66,25,20
48,Hershey Bears,57,0,83,AHL,72,1966-67,26,26
24,Hershey Bears,47,0,75,AHL,72,1967-68,27,28
13,Hershey Bears,65,0,100,AHL,71,1968-69,28,35
8,Hershey Bears,41,0,64,AHL,67,1969-70,29,23
8,Hershey Bears,28,0,42,AHL,56,1970-71,30,14
24,Hershey Bears,42,0,71,AHL,74,1971-72,31,29
8,Hershey Bears,58,0,89,AHL,71,1972-73,32,31
