average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,1,0,0,NHL,19,1,0,0,4,0,0,0,0,1982-83,HAR,0,1,[],0.0,,2
,0,0,0,NHL,23,0,0,-2,3,0,0,0,0,1986-87,WIN,0,0,[],0.0,,2
,5,0,0,NHL,24,2,15,5,21,3,0,0,0,1987-88,WIN,3,2,[],14.3,,13
,8,1,1,NHL,25,3,38,-24,76,4,0,0,0,1988-89,WIN,5,3,[],6.6,,64
,16,1,0,NHL,26,11,54,-8,67,5,0,0,0,1989-90,PIT,5,11,[],7.5,,61
,25,1,2,NHL,27,10,51,3,112,12,1,0,0,1990-91,PIT,15,10,[],13.4,,72
,23,0,1,NHL,28,13,28,2,99,9,0,0,0,1991-92,TOT,10,13,[],10.1,,73
,9,0,1,NHL,28,6,14,-3,32,2,0,0,0,1991-92,LAK,3,6,[],9.4,,33
,14,0,0,NHL,28,7,14,5,67,7,0,0,0,1991-92,NYR,7,7,[],10.4,,40
,7,1,1,NHL,29,4,14,-14,45,2,0,0,0,1992-93,TOT,3,4,[],6.7,,44
,5,1,1,NHL,29,2,8,-8,34,2,0,0,0,1992-93,NYR,3,2,[],8.8,,33
,2,0,0,NHL,29,2,6,-6,11,0,0,0,0,1992-93,TBL,0,2,[],0.0,,11
,14,0,0,NHL,30,5,50,-12,95,7,0,0,2,1993-94,TOT,7,7,[],7.4,,60
,8,0,0,NHL,30,3,16,1,52,4,0,0,1,1993-94,FLA,4,4,[],7.7,,20
,6,0,0,NHL,30,2,34,-13,43,3,0,0,1,1993-94,WIN,3,3,[],7.0,,40
,11,1,1,NHL,31,6,52,-17,47,4,0,0,0,1994-95,WIN,5,6,[],10.6,,44
,5,0,0,NHL,32,3,12,1,26,2,0,0,0,1995-96,WIN,2,3,[],7.7,,22
