pim,team,assists,plus_minus,points,league,games_played,year,age,goals
8,Toronto Young Leafs,6,0,22,Minor-ON,8,1943-44,16,16
12,Toronto Young Leafs,5,0,27,Minor-ON,11,1944-45,17,22
16,Galt Red Wings,9,0,29,OHA-Jr.,20,1945-46,18,20
67,Galt Red Wings,26,0,60,OHA-Jr.,32,1946-47,19,34
79,Omaha Knights,39,0,55,USHL,66,1947-48,20,16
59,Indianapolis Capitols,48,0,83,AHL,68,1948-49,21,35
65,Indianapolis Capitols,29,0,51,AHL,55,1949-50,22,22
106,Indianapolis Capitols,36,0,84,AHL,69,1950-51,23,48
8,Indianapolis Capitols,6,0,11,AHL,10,1951-52,24,5
82,2 Teams,19,0,31,AHL,36,1952-53,25,12
8,St. Louis Flyers,3,0,6,AHL,7,1952-53,25,3
74,Cleveland Barons,16,0,25,AHL,29,1952-53,25,9
117,Cleveland Barons,42,0,65,AHL,55,1953-54,26,23
108,Cleveland Barons,42,0,75,AHL,58,1954-55,27,33
187,Cleveland Barons,48,0,79,AHL,64,1955-56,28,31
111,Cleveland Barons,57,0,99,AHL,64,1956-57,29,42
147,Cleveland Barons,48,0,76,AHL,64,1957-58,30,28
136,Cleveland Barons,39,0,61,AHL,66,1958-59,31,22
143,Cleveland Barons,69,0,107,AHL,72,1959-60,32,38
138,Cleveland Barons,46,0,69,AHL,61,1960-61,33,23
148,Cleveland Barons,45,0,85,AHL,70,1961-62,34,40
171,Cleveland Barons,54,0,80,AHL,71,1962-63,35,26
155,Cleveland Barons,50,0,76,AHL,69,1963-64,36,26
208,Cleveland Barons,41,0,61,AHL,72,1964-65,37,20
74,Cleveland Barons,28,0,36,AHL,47,1965-66,38,8
107,Cleveland Barons,35,0,60,AHL,60,1966-67,39,25
132,Cleveland Barons,32,0,45,AHL,70,1967-68,40,13
