power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
1,0,10,2,NHL,1999-00,20,4,NJD,325,6,4,1,0,53,,SC,7.5,3
0,0,14,0,NHL,2000-01,21,5,NJD,403,9,24,7,0,70,,,7.1,5
0,0,12,0,NHL,2002-03,23,3,NJD,330,9,2,3,0,56,,SC,5.4,3
0,5,6,0,NHL,2003-04,24,0,NJD,86,6,0,-2,0,17,,,0.0,0
4,9,9,1,NHL,2005-06,26,5,NJD,164,4,6,-1,0,39,,,12.8,1
0,11,14,1,NHL,2006-07,27,4,NJD,220,10,14,6,0,37,,,10.8,4
1,10,11,0,NHL,2007-08,28,4,NYR,209,7,8,5,0,27,45,,14.8,3
1,7,5,0,NHL,2008-09,29,2,NYR,140,3,4,-4,0,15,33,,13.3,1
0,19,14,0,NHL,2009-10,30,2,MTL,402,12,25,-6,0,46,81,,4.3,2
0,7,4,0,NHL,2010-11,31,0,MTL,138,4,2,-6,0,21,35,,0.0,0
0,9,2,0,NHL,2012-13,33,0,SJS,135,2,6,0,0,12,18,,0.0,0
