pim,team,assists,plus_minus,points,league,games_played,year,age,goals
0,East High Thunderbirds,48,0,78,High-AK,28,1994-95,15,30
0,East High Thunderbirds,49,0,101,High-AK,27,1995-96,16,56
44,Anchorage North Stars,67,0,137,AAHL,40,1995-96,16,70
94,South Surrey Eagles,76,0,124,BCHL,56,1996-97,17,48
57,Tri-City Americans,37,-11,49,WHL,45,1997-98,18,12
2,United States,0,0,1,WJC-A,7,1997-98,18,1
55,Tri-City Americans,78,43,108,WHL,58,1998-99,19,30
4,United States,7,0,10,WJC-A,6,1998-99,19,3
0,United States,3,2,4,W-Cup,5,2004-05,25,1
69,Alaska Aces,73,26,86,ECHL,61,2004-05,25,13
10,United States,4,-3,5,Olympics,6,2005-06,26,1
12,Alaska Aces,7,4,13,ECHL,11,2012-13,33,6
