average_ice_time,total_shots,points,game_winning_goals,shorthanded_goals,blocks,league,age,even_strength_assists,faceoff_wins,pim,plus_minus,shots,faceoff_percentage,even_strength_goals,faceoff_loses,power_play_goals,shorthanded_assists,power_play_assists,takeaways,year,team,goals,hits,assists,giveaways,shotsPercentage,total_ice_time,games_played,awards
,0,7,0,0,0,NHL,20,5,0,22,4,38,0,2,0,0,0,0,0,1994-95,WSH,2,0,5,0,5.3,,31,[]
,0,41,4,0,0,NHL,21,16,0,60,25,139,0,11,0,4,0,10,0,1995-96,WSH,15,0,26,0,10.8,,78,"[{'link': '/awards/voting-1996.html#AS', 'name': 'AS-12'}]"
,0,30,3,0,0,NHL,22,9,0,36,-11,129,0,10,0,3,1,7,0,1996-97,WSH,13,0,17,0,10.1,,57,"[{'link': '/awards/voting-1997.html#AS', 'name': 'AS-20'}, {'link': '/awards/voting-1997.html#norris', 'name': 'Norris-18'}]"
,0,21,0,0,0,NHL,23,9,0,66,2,134,0,3,0,2,0,7,0,1997-98,WSH,5,0,16,0,3.7,,72,[]
23:55,0,31,3,1,0,NHL,24,5,0,57,1,180,0,7,0,13,1,4,0,1998-99,WSH,21,0,10,0,11.7,1268,53,"[{'link': '/awards/voting-1999.html#AS', 'name': 'AS-16'}]"
21:46,0,54,3,0,0,NHL,25,22,0,52,26,181,0,13,0,5,0,14,0,1999-00,WSH,18,0,36,0,9.9,1589,73,"[{'link': '/awards/voting-2000.html#AS', 'name': 'AS-5'}, {'link': '/awards/voting-2000.html#norris', 'name': 'Norris-5'}]"
22:26,0,57,2,0,0,NHL,26,12,0,70,12,241,0,11,0,8,0,26,0,2000-01,WSH,19,0,38,0,7.9,1705,76,"[{'link': '/awards/voting-2001.html#AS', 'name': 'AS-6'}, {'link': '/awards/voting-2001.html#norris', 'name': 'Norris-6'}]"
23:51,0,59,2,0,0,NHL,27,19,0,58,-1,216,0,19,0,7,0,14,0,2001-02,WSH,26,0,33,0,12.0,1813,76,"[{'link': '/awards/nhl_all_star.html#2002', 'name': None}, {'link': '/awards/voting-2002.html#AS', 'name': 'AS-4'}, {'link': '/awards/voting-2002.html#norris', 'name': 'Norris-4'}]"
26:35,0,67,2,0,0,NHL,28,25,0,52,13,224,0,11,0,7,1,23,0,2002-03,WSH,18,0,49,0,8.0,2179,82,"[{'link': '/awards/nhl_all_star.html#2003', 'name': None}, {'link': '/awards/voting-2003.html#AS', 'name': 'AS-3'}, {'link': '/awards/voting-2003.html#norris', 'name': 'Norris-4'}]"
27:26,0,58,0,0,0,NHL,29,19,0,56,-14,161,0,5,0,6,0,28,0,2003-04,TOT,11,0,47,0,6.8,1948,71,"[{'link': '/awards/voting-2004.html#AS', 'name': 'AS-9'}, {'link': '/awards/voting-2004.html#norris', 'name': 'Norris-9'}]"
27:57,0,49,0,0,0,NHL,29,15,0,44,-20,127,0,3,0,4,0,27,0,2003-04,WSH,7,0,42,0,5.5,1565,56,"[{'link': '/awards/voting-2004.html#AS', 'name': 'AS-9'}, {'link': '/awards/voting-2004.html#norris', 'name': 'Norris-9'}]"
25:32,0,9,0,0,0,NHL,29,4,0,12,6,34,0,2,0,2,0,1,0,2003-04,BOS,4,0,5,0,11.8,383,15,"[{'link': '/awards/voting-2004.html#AS', 'name': 'AS-9'}, {'link': '/awards/voting-2004.html#norris', 'name': 'Norris-9'}]"
24:40,0,58,2,0,0,NHL,31,14,0,100,-13,192,0,4,0,8,2,30,0,2005-06,PIT,12,0,46,0,6.3,1850,75,"[{'link': '/awards/voting-2006.html#norris', 'name': 'Norris-15'}]"
26:34,0,67,3,1,0,NHL,32,14,0,72,-5,191,0,2,0,10,2,38,0,2006-07,PIT,13,0,54,0,6.8,2178,82,"[{'link': '/awards/voting-2007.html#AS', 'name': 'AS-7'}, {'link': '/awards/voting-2007.html#norris', 'name': 'Norris-7'}]"
25:55,370,65,2,0,126,NHL,33,15,0,66,13,173,0,4,0,8,0,38,33,2007-08,PIT,12,56,53,43,6.9,2021,78,"[{'link': '/awards/voting-2008.html#AS', 'name': 'AS-5'}, {'link': '/awards/voting-2008.html#hart', 'name': 'Hart-17'}, {'link': '/awards/voting-2008.html#norris', 'name': 'Norris-4'}]"
25:11,138,19,1,0,38,NHL,34,5,0,26,6,71,0,1,0,5,0,8,10,2008-09,PIT,6,25,13,15,8.5,630,25,[]
