bad_start,shutouts,points,goals_allowed_average,goals_saved_aboved_average,shots_againist,league,games_started,age,good_start_precentages,saves,pim,goals,good_starts,goals_allowed_precentage,goals_allowed,saves_percentage,year,team,loses,assists,ties,wins,games_played,minutes
0,0,0,3.65,0,0,USHL,0,18,0,0,0,0,0,0,73,0,1993-94,Sioux City Musketeers,0,0,0,0,20,1200
0,2,0,2.78,0,0,CCHA,0,19,0,0,0,0,0,0,75,0,1994-95,Lake Superior State,7,0,3,16,28,1616
0,0,0,4.07,0,0,WJC-A,0,19,0,0,0,0,0,0,19,0,1994-95,United States,2,0,0,2,5,280
0,2,0,2.54,0,697,CCHA,0,20,0,631,0,0,0,0,66,.905,1995-96,Lake Superior State,4,0,2,21,29,1558
0,0,0,8.00,0,0,WC-A,0,20,0,0,0,0,0,0,4,0,1995-96,United States,1,0,0,0,1,30
0,3,0,3.66,0,0,CCHA,0,21,0,0,0,0,0,0,134,0,1996-97,Lake Superior State,13,0,4,19,37,2197
0,3,0,3.22,0,1614,AHL,0,22,0,1450,0,0,0,0,164,.898,1997-98,Providence Bruins,31,0,4,15,55,3053
0,3,0,2.90,0,1283,AHL,0,23,0,1149,31,0,0,0,134,.896,1998-99,Providence Bruins,9,0,1,37,48,2771
0,1,0,3.38,0,876,AHL,0,24,0,790,6,0,0,0,86,.902,1999-00,Providence Bruins,13,0,2,11,27,1528
0,0,1,3.16,0,467,AHL,0,25,0,420,12,0,0,0,47,.899,2000-01,Providence Bruins,7,1,3,4,16,893
0,0,0,3.00,0,25,Olympics,0,30,0,22,0,0,0,0,3,.880,2005-06,United States,0,0,1,0,1,60
0,1,0,2.79,0,176,WC-A,0,31,0,157,2,0,0,0,19,.892,2006-07,United States,3,0,0,4,7,409
0,0,0,3.04,0,239,AHL,0,32,0,218,2,0,0,0,21,.912,2007-08,Albany River Rats,3,0,0,4,7,415
0,3,1,2.86,0,0,KHL,0,33,0,0,4,0,0,0,57,0,2008-09,Avangard Omsk Region,10,1,0,9,20,1195
0,0,0,3.17,0,740,AHL,0,34,0,658,2,0,0,0,82,.889,2009-10,2 Teams,17,0,3,6,26,1554
0,0,0,2.85,0,327,AHL,0,34,0,293,2,0,0,0,34,.896,2009-10,Adirondack Phantoms,10,0,0,2,12,717
0,0,0,3.44,0,413,AHL,0,34,0,365,0,0,0,0,48,.884,2009-10,Lake Erie Monsters,7,0,3,4,14,837
0,1,2,2.39,0,901,AHL,0,35,0,821,2,0,0,0,80,.911,2010-11,Lake Erie Monsters,12,2,2,19,34,2009
