average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,1,0,0,NHL,19,1,8,-2,9,0,0,0,0,1987-88,DET,0,1,[],0.0,,9
,12,1,0,NHL,20,5,60,-5,60,7,0,0,0,1988-89,DET,7,5,[],11.7,,56
,22,1,0,NHL,21,12,136,0,94,8,1,0,1,1989-90,TOT,9,13,[],9.6,,76
,1,0,0,NHL,21,1,13,-5,10,0,0,0,0,1989-90,DET,0,1,[],0.0,,13
,21,1,0,NHL,21,11,123,5,84,8,1,0,1,1989-90,EDM,9,12,[],10.7,,63
,25,1,0,NHL,22,13,127,-21,126,5,2,0,5,1990-91,EDM,7,18,[],5.6,,76
,59,4,4,NHL,23,25,139,19,228,18,4,3,5,1991-92,NYR,26,33,"[{'link': '/awards/voting-1992.html#selke', 'name': 'Selke-5'}]",11.4,,80
,65,6,1,NHL,24,25,148,-4,275,23,12,2,2,1992-93,NYR,36,29,[],13.1,,84
,79,4,4,NHL,25,18,127,27,291,28,20,1,8,1993-94,NYR,52,27,"[{'link': '/awards/nhl_all_star.html#1994', 'name': None}, {'link': '/awards/clancy.html#1994', 'name': None}, {'link': '/awards/voting-1994.html#hart', 'name': 'Hart-8'}, {'link': '/awards/voting-1994.html#selke', 'name': 'Selke-5'}]",17.9,,84
,31,3,0,NHL,26,7,51,9,185,8,9,1,6,1994-95,NYR,17,14,[],9.2,,47
,58,2,1,NHL,27,21,100,18,266,12,9,1,14,1995-96,NYR,22,36,"[{'link': '/awards/voting-1996.html#selke', 'name': 'Selke-9'}]",8.3,,82
,61,3,4,NHL,28,20,66,10,269,19,10,2,6,1996-97,NYR,33,28,[],12.3,,0
,35,2,0,NHL,29,7,41,-30,226,13,10,0,5,1997-98,NYR,23,12,[],10.2,,72
20:33,53,7,2,NHL,30,8,47,-12,239,22,14,1,6,1998-99,NYR,38,15,"[{'link': '/awards/voting-1999.html#AS', 'name': 'AS-8'}]",15.9,1685,82
18:46,40,4,0,NHL,31,10,14,-15,194,12,11,0,7,1999-00,NYR,23,17,[],11.9,1445,77
15:44,26,1,0,NHL,32,10,77,-16,136,9,1,0,6,2000-01,NYR,10,16,"[{'link': '/awards/masterton.html#2001', 'name': None}]",7.4,1290,82
15:47,31,1,3,NHL,33,13,51,11,139,13,1,0,1,2001-02,SJS,17,14,[],12.2,1279,81
13:03,18,0,0,NHL,34,8,32,-14,118,8,1,1,0,2002-03,SJS,9,9,[],7.6,1070,82
