pim,team,assists,plus_minus,points,league,games_played,year,age,goals
75,Coll\xc3\xa8ge Esther-Blondin Ph\xc3\xa9nix,13,0,28,QMAAA,42,2011-12,15,15
4,Coll\xc3\xa8ge Esther-Blondin Ph\xc3\xa9nix,5,0,5,Telus Cup,7,2011-12,15,0
0,Kimball Union Academy,19,0,35,USHS,30,2012-13,16,16
0,Kimball Union Academy,39,0,63,USHS,34,2013-14,17,24
2,Des Moines Buccaneers,1,3,3,USHL,2,2013-14,17,2
0,Boston Jr. Bruins Selects U18,4,0,6,MHSL U18,8,2013-14,17,2
18,Boston Univ.,4,1,7,NCAA,37,2014-15,18,3
30,Rouyn-Noranda Huskies,1,0,2,M-Cup,5,2015-16,19,1
10,Boston Univ.,4,-2,5,NCAA,18,2015-16,19,1
57,Rouyn-Noranda Huskies,11,8,27,QMJHL,33,2015-16,19,16
78,San Antonio Rampage,23,-15,38,AHL,63,2016-17,20,15
