bad_start,shutouts,points,goals_allowed_average,goals_saved_aboved_average,shots_againist,league,games_started,age,good_start_precentages,saves,pim,goals,good_starts,goals_allowed_precentage,goals_allowed,saves_percentage,year,team,loses,assists,ties,wins,games_played,minutes
0,0,0,6.00,0,0,ON-Jr.A,0,16,0,0,0,0,0,0,6,0,1981-82,Gloucester Rangers,0,0,0,0,1,60
0,0,0,4.81,0,0,ON-Jr.A,0,17,0,0,0,0,0,0,124,0,1982-83,Gloucester Rangers,0,0,0,0,30,1546
0,0,0,5.14,0,0,OHL,0,18,0,0,0,0,0,0,155,0,1983-84,Guelph Platers,20,0,1,9,38,1808
0,1,0,4.63,0,0,OHL,0,19,0,0,0,0,0,0,200,0,1984-85,Guelph Platers,22,0,4,16,47,2593
0,3,0,3.40,0,0,OHL,0,20,0,0,0,0,0,0,165,0,1985-86,Guelph Platers,20,0,1,26,50,2910
0,5,0,3.10,0,0,AHL,0,21,0,0,0,0,0,0,157,0,1986-87,Baltimore Skipjacks,23,0,0,21,54,3035
0,4,0,2.81,0,0,IHL,0,22,0,0,0,0,0,0,91,0,1987-88,Muskegon Lumberjacks,4,0,5,23,33,1943
0,2,0,3.02,0,0,IHL,0,23,0,0,0,0,0,0,121,0,1988-89,2 Teams,9,0,0,30,40,2407
0,0,0,3.92,0,0,IHL,0,23,0,0,0,0,0,0,39,0,1988-89,Muskegon Lumberjacks,4,0,0,6,10,597
0,2,0,2.72,0,0,IHL,0,23,0,0,0,0,0,0,82,0,1988-89,Salt Lake Golden Eagles,5,0,0,24,30,1810
0,0,0,0.00,0,0,Fr-Tour,0,24,0,0,0,0,0,0,0,0,1989-90,Calgary Flames,0,0,0,0,1,27
0,0,0,3.45,0,0,IHL,0,24,0,0,0,0,0,0,160,0,1989-90,Salt Lake Golden Eagles,21,0,4,22,47,2779
0,2,0,3.26,0,0,IHL,0,25,0,0,0,0,0,0,137,0,1990-91,Salt Lake Golden Eagles,13,0,4,26,43,2521
0,1,0,3.84,0,0,IHL,0,26,0,0,0,0,0,0,70,0,1991-92,Kalamazoo Wings,9,0,3,7,21,1094
