pim,year,team,assists,plus_minus,age,games_played,points,goals,league
19,1981-82,Tappara Tampere Jr.,7,0,16,23,15,8,Fin-Jr.
16,1981-82,Finland,0,0,16,5,0,0,EJC-A
54,1982-83,Ilves Tampere Jr.,9,0,17,21,18,9,Fin-Jr.
12,1982-83,Finland,0,0,17,5,3,3,EJC-A
19,1983-84,Ilves Tampere Jr.,2,0,18,7,6,4,Fin-Jr.
8,1983-84,Ilves Tampere,1,0,18,27,1,0,Finland
8,1983-84,Finland,5,0,18,7,10,5,WJC-A
2,1984-85,Ilves Tampere,0,0,19,13,5,5,Finland
4,1984-85,Finland,1,0,19,7,7,6,WJC-A
13,1985-86,Springfield Indians,1,0,20,20,4,3,AHL
34,1987-88,Springfield Indians,19,0,22,61,33,14,AHL
36,1988-89,Lukko Rauma,19,0,23,42,47,28,Finland
4,1988-89,Finland,0,0,23,2,0,0,Nat-Tm
59,1989-90,Lukko Rauma,9,0,24,24,26,17,Finland
100,1990-91,JYP HT Jyvaskyla,17,0,25,32,45,28,Finland
6,1990-91,Finland,0,0,25,9,1,1,Nat-Tm
70,1991-92,JYP HT Jyvaskyla,20,0,26,41,41,21,Finland
89,1992-93,JYP HT Jyvaskyla,11,0,27,44,26,15,Finland
72,1993-94,Tappara Tampere,13,0,28,42,34,21,Finland
67,1994-95,Tappara Tampere,12,0,29,48,24,12,Finland
60,1995-96,Tappara Tampere,16,0,30,45,29,13,Finland
39,1996-97,CE Wien,6,0,31,25,15,9,Alpenliga
0,1996-97,CE Vienna,7,0,31,4,13,6,Austria
64,1997-98,GEC Nordhorn,37,0,32,33,69,32,German-2
76,1998-99,HC Les Flammes Bleues Reims,9,0,33,24,25,16,France
