assists,team,goals,year,games_played,points,pim,age,plus_minus,league
22,Westminster School,20,1990-91,25,42,0,14,0,High-CT
36,Westminster School,24,1991-92,25,60,0,15,0,High-CT
111,Boston Jr. Bruins,70,1992-93,72,181,80,16,0,MBAHL
32,Detroit Jr. Red Wings,31,1993-94,60,63,21,17,0,OHL
49,Detroit Jr. Red Wings,40,1994-95,61,89,37,18,0,OHL
6,United States,1,1994-95,7,7,8,18,0,WJC-A
51,Detroit Jr. Whalers,60,1995-96,66,111,78,19,0,OHL
22,Kentucky Thoroughblades,13,1996-97,77,35,60,20,0,AHL
20,Kentucky Thoroughblades,33,1997-98,63,53,64,21,4,AHL
27,Lowell Lock Monsters,19,1998-99,77,46,40,22,-1,AHL
33,Kansas City Blades,27,1999-00,76,60,94,23,-18,IHL
1,United States,1,1999-00,7,2,8,23,2,WC-A
23,Milwaukee Admirals,27,2000-01,76,50,59,24,1,IHL
26,Providence Bruins,21,2001-02,69,47,46,25,-2,AHL
