assists,team,goals,year,games_played,points,pim,age,plus_minus,league
0,Gimo IF,0,2008-09,23,0,6,13,0,Division 2
1,Uppland,0,2009-10,7,1,10,14,0,TV-Pucken
9,Gimo IF,7,2009-10,32,16,28,14,0,Division 2
5,Uppland,4,2010-11,8,9,2,15,0,TV-Pucken
9,Tierps HK,2,2010-11,30,11,30,15,0,Division 1
5,Sweden U16 (all),1,2010-11,6,6,8,15,0,Internationa
13,MODO Hockey U16,2,2010-11,8,15,26,15,0,U16 SM
0,MODO Hockey J18,0,2010-11,2,0,2,15,0,J18 Allsvens
13,MODO Hockey J20,4,2011-12,44,17,46,16,9,SuperElit
4,MODO Hockey J18,0,2011-12,3,4,8,16,1,J18 Elit
0,MODO Hockey J18,1,2011-12,2,1,2,16,-1,J18 Allsvens
0,Sweden U19,0,2011-12,4,0,4,16,0,WJAC-19
4,Sweden U17 (all),0,2011-12,5,4,16,16,2,Internationa
4,Sweden U17,2,2011-12,6,6,16,16,0,WHC-17
0,Sweden U18 (all),1,2011-12,9,1,8,16,-3,Internationa
2,Sweden U18,3,2012-13,4,5,35,17,2,Hlinka Memor
13,MODO Hockey J20,11,2012-13,28,24,24,17,8,SuperElit
0,MODO Hockey J18,0,2012-13,0,0,0,17,0,J18 Allsvens
1,MODO Hockey,0,2012-13,27,1,2,17,-3,SHL
1,Sweden U20 (all),1,2012-13,5,2,0,17,-1,Internationa
1,Sweden U20,1,2012-13,5,2,0,17,-1,WJC-20
10,Sweden U18 (all),6,2012-13,19,16,53,17,4,Internationa
3,Sweden U18,1,2012-13,5,4,12,17,1,WJC-18
0,Sweden U20,1,2013-14,7,1,12,18,4,WJC-20
6,MODO Hockey J20,1,2013-14,8,7,6,18,2,SuperElit
5,MODO Hockey,1,2013-14,50,6,47,18,0,SHL
3,Adirondack Phantoms,1,2013-14,10,4,10,18,1,AHL
1,Sweden U20 (all),2,2013-14,17,3,18,18,4,Internationa
4,Sweden U20 (all),0,2014-15,14,4,6,19,-3,Internationa
2,Sweden U20,0,2014-15,7,2,2,19,-3,WJC-20
17,Lehigh Valley Phantoms,3,2014-15,69,20,42,19,-12,AHL
6,Lehigh Valley Phantoms,5,2015-16,65,11,42,20,-11,AHL
8,Lehigh Valley Phantoms,7,2016-17,58,15,48,21,10,AHL
