pim,year,team,assists,plus_minus,age,games_played,points,goals,league
16,1993-94,Amherst Knights,20,0,15,38,28,8,WNYHA
35,1994-95,Guelph Storm,7,0,16,57,8,1,OHL
69,1995-96,Guelph Storm,27,0,17,63,35,8,OHL
62,1996-97,Guelph Storm,15,0,18,58,26,11,OHL
46,1997-98,Guelph Storm,21,25,19,44,23,2,OHL
10,1997-98,United States,0,0,19,7,0,0,WJC-A
36,1998-99,Hamilton Bulldogs,4,6,20,64,4,0,AHL
30,1999-00,Hamilton Bulldogs,8,0,21,54,8,0,AHL
48,2000-01,Hamilton Bulldogs,10,2,22,70,10,0,AHL
34,2001-02,Hamilton Bulldogs,3,3,23,39,5,2,AHL
61,2002-03,Portland Pirates,15,3,24,71,26,11,AHL
53,2003-04,Portland Pirates,13,-9,25,66,16,3,AHL
16,2004-05,Portland Pirates,6,5,26,53,9,3,AHL
8,2004-05,Augusta Lynx,4,5,26,13,5,1,ECHL
59,2005-06,Lowell Lock Monsters,12,4,27,60,13,1,AHL
44,2006-07,Fuchse Duisburg,9,0,28,44,11,2,Germany
82,2006-07,Lukko Rauma,0,0,28,10,1,1,Finland
