assists,team,goals,year,games_played,points,pim,age,plus_minus,league
3,Sarnia Sting,3,2002-03,43,6,32,16,0,OHL
8,Sarnia Sting,8,2003-04,51,16,69,17,0,OHL
16,Sarnia Sting,14,2004-05,61,30,122,18,0,OHL
6,2 Teams,14,2005-06,53,20,161,19,0,OHL
6,Sarnia Sting,2,2005-06,23,8,83,19,0,OHL
0,Toronto St. Michael\'s Majors,12,2005-06,30,12,78,19,0,OHL
24,Toronto St. Michael\'s Majors,30,2006-07,68,54,174,20,0,OHL
1,South Carolina Stingrays,5,2006-07,7,6,13,20,2,ECHL
2,Bridgeport Sound Tigers,2,2007-08,36,4,75,21,-4,AHL
8,Utah Grizzlies,11,2007-08,28,19,115,21,0,ECHL
3,Bridgeport Sound Tigers,5,2008-09,45,8,99,22,0,AHL
8,Bridgeport Sound Tigers,6,2009-10,65,14,196,23,-14,AHL
10,Bridgeport Sound Tigers,12,2010-11,50,22,144,24,-19,AHL
10,Bridgeport Sound Tigers,15,2011-12,51,25,125,25,4,AHL
13,Connecticut Whale,10,2012-13,69,23,170,26,10,AHL
11,Hartford Wolf Pack,7,2013-14,53,18,131,27,3,AHL
13,Worcester Sharks,18,2014-15,68,31,106,28,-13,AHL
11,San Jose Barracuda,12,2015-16,41,23,52,29,6,AHL
