assists,team,goals,year,games_played,points,pim,age,plus_minus,league
48,Toronto Jr. Canadiens,37,2003-04,53,85,27,15,0,GTHL
3,Toronto St. Michael\'s Majors,3,2004-05,30,6,4,16,-6,OHL
11,St. Michael\'s Buzzers,5,2004-05,17,16,8,16,0,ON-Jr.A
18,Toronto St. Michael\'s Majors,13,2005-06,61,31,16,17,-2,OHL
33,Kitchener Rangers,33,2006-07,67,66,20,18,11,OHL
46,Kitchener Rangers,13,2007-08,40,59,16,19,17,OHL
3,Canada,2,2007-08,7,5,2,19,3,WJC-A
15,Lowell Devils,14,2008-09,47,29,10,20,-8,AHL
11,Lowell Devils,11,2009-10,32,22,2,21,6,AHL
12,Milwaukee Admirals,11,2010-11,37,23,12,22,6,AHL
1,Milwaukee Admirals,2,2012-13,2,3,0,24,0,AHL
