ties,assists,points,games_started,league,pim,goals,goals_allowed_average,loses,saves,games_played,good_start_precentages,goals_allowed_precentage,won,bad_start,saves_percentage,year,team,goals_saved_aboved_average,goals_allowed,shots_againist,shutouts,age,good_starts,minutes,wins
0,0,0,0,NHL,0,0,2.78,0,0,0,0,0,,0,0,1955-56,DET,0,0,0,0,24,0,0,5
0,0,0,0,NHL,10,0,3.00,4,0,5,0,0,,0,0,1956-57,DET,0,15,0,0,25,0,300,1
0,0,0,0,NHL,0,0,3.50,4,0,6,0,0,,0,0,1958-59,CBH,0,21,0,0,27,0,360,2
0,0,0,0,NHL,0,0,3.37,4,0,4,0,0,,0,0,1959-60,CBH,0,14,0,0,28,0,249,0
0,0,0,0,NHL,0,0,0,0,0,0,0,0,SC,0,0,1960-61,CBH,0,0,0,0,29,0,0,0
0,0,0,0,NHL,0,0,2.58,0,0,0,0,0,,0,0,1961-62,CBH,0,0,0,0,30,0,0,0
0,0,0,0,NHL,0,0,4.17,4,0,6,0,0,,0,0,1962-63,CBH,0,25,0,0,31,0,360,2
0,0,0,0,NHL,0,0,3.24,4,0,7,0,0,,0,0,1963-64,CBH,0,22,0,0,32,0,408,3
0,0,0,0,NHL,0,0,2.21,0,0,0,0,0,,0,0,1964-65,CBH,0,0,0,1,33,0,0,0
0,0,0,0,NHL,0,0,3.80,4,0,6,0,0,,0,0,1965-66,CBH,0,22,0,0,34,0,347,2
0,0,0,0,NHL,0,0,2.73,2,0,3,0,0,,0,0,1966-67,CBH,0,8,0,0,35,0,176,1
0,0,0,0,NHL,0,0,2.43,0,0,0,0,0,,0,0,1967-68,STL,0,0,0,0,36,0,0,8
0,0,0,0,NHL,0,0,2.29,2,0,3,0,0,,0,0,1968-69,STL,0,5,0,0,37,0,131,0
0,0,0,0,NHL,0,0,2.99,3,0,7,0,0,,0,0,1969-70,STL,0,21,0,0,38,0,421,4
0,0,0,0,NHL,0,0,3.00,3,0,3,0,0,,0,0,1970-71,STL,0,9,0,0,39,0,180,0
