assists,team,goals,year,games_played,points,pim,age,plus_minus,league
54,Stratford Cullitons,29,1994-95,44,83,43,18,0,ON-Jr.B
11,Princeton University Tigers,3,1995-96,29,14,30,19,0,ECAC
24,Princeton University Tigers,7,1996-97,33,31,35,20,0,ECAC
25,Princeton University Tigers,28,1997-98,36,53,46,21,0,ECAC
22,Princeton University Tigers,22,1998-99,33,44,32,22,0,ECAC
1,Portland Pirates,2,1998-99,6,3,4,22,0,AHL
1,United States,1,1999-00,7,2,4,23,-1,WC-A
1,United States,1,2000-01,9,2,8,24,1,WC-A
2,United States,2,2003-04,9,4,4,27,0,WC-A
0,United States,0,2004-05,4,0,7,28,-1,W-Cup
12,HC Ajoie,5,2004-05,15,17,52,28,0,Swiss-2
4,Kloten Flyers,7,2004-05,9,11,6,28,0,Swiss
0,United States,1,2004-05,7,1,6,28,1,WC-A
1,United States,0,2007-08,3,1,4,31,-3,WC-A
0,TPS,4,2013-14,8,4,30,37,-3,Liiga
