pim,year,team,assists,plus_minus,age,games_played,points,goals,league
0,1939-40,Toronto Young Rangers,0,0,14,13,0,0,OHA-Jr.
0,1940-41,Toronto Young Rangers,0,0,15,7,2,2,OHA-Jr.
2,1941-42,Toronto Kodaks,4,0,16,11,14,10,TMHL
9,1941-42,Toronto Young Rangers,8,0,16,17,17,9,OHA-Jr.
6,1942-43,Toronto Staffords,4,0,17,9,11,7,TIHL
6,1944-45,Cornwallis Navy,8,0,19,13,18,10,NSDHL
12,1945-46,Pittsburgh Hornets,3,0,20,8,8,5,AHL
63,1946-47,Pittsburgh Hornets,41,0,21,64,68,27,AHL
52,1947-48,Pittsburgh Hornets,29,0,22,67,50,21,AHL
32,1948-49,Providence Reds,54,0,23,59,80,26,AHL
20,1949-50,Providence Reds,35,0,24,55,54,19,AHL
39,1950-51,2 Teams,44,0,25,67,77,33,AHL
29,1950-51,Providence Reds,26,0,25,45,47,21,AHL
10,1950-51,St. Louis Flyers,18,0,25,22,30,12,AHL
34,1951-52,St. Louis Flyers,50,0,26,67,77,27,AHL
31,1952-53,Shawinigan Cataractes,7,0,27,17,10,3,QMHL
52,1952-53,New Westminster Royals,19,0,27,45,31,12,WHL
54,1953-54,New Westminster Royals,31,0,28,63,46,15,WHL
22,1954-55,Kitchener Dutchmen,30,0,29,40,37,7,OHA-Sr.
27,1955-56,Owen Sound Mercurys,35,0,30,48,53,18,OHA-Sr.
16,1956-57,Owen Sound Mercurys,5,0,31,8,5,0,OHA-Sr.
18,1956-57,Troy Bruins,4,0,31,15,7,3,IHL
14,1957-58,North Bay Trappers,4,0,32,10,4,0,NOHA
