average_ice_time,total_shots,points,game_winning_goals,shorthanded_goals,blocks,league,age,even_strength_assists,faceoff_wins,pim,plus_minus,shots,faceoff_percentage,even_strength_goals,faceoff_loses,power_play_goals,shorthanded_assists,power_play_assists,takeaways,year,team,goals,hits,assists,giveaways,shotsPercentage,total_ice_time,games_played,awards
18:50,0,1,0,0,0,NHL,23,1,0,2,5,7,0,0,0,0,0,0,0,2005-06,TOR,0,0,1,0,0.0,151,8,[]
8:22,0,0,0,0,0,NHL,24,0,0,6,-5,3,0,0,0,0,0,0,0,2006-07,TOR,0,0,0,0,0.0,42,5,[]
17:16,31,1,0,0,8,NHL,26,1,0,10,-2,6,0,0,0,0,0,0,2,2008-09,TOR,0,8,1,3,0.0,121,7,[]
14:43,68,6,0,0,45,NHL,27,5,0,50,-8,30,0,1,0,0,0,0,6,2009-10,CAR,1,66,5,10,3.3,559,38,[]
15:16,137,10,0,0,100,NHL,28,7,0,72,5,49,0,3,0,0,0,0,16,2010-11,CAR,3,110,7,32,6.1,1100,72,[]
20:33,291,23,2,0,153,NHL,29,11,0,60,-10,128,0,7,0,2,0,3,15,2011-12,CAR,9,117,14,40,7.0,1480,72,[]
19:54,122,10,2,0,110,NHL,30,6,0,51,-10,54,0,3,0,0,0,1,12,2012-13,CAR,3,83,7,24,5.6,936,47,[]
16:38,216,15,1,0,82,NHL,31,6,0,44,-1,103,0,3,0,1,0,5,8,2013-14,CAR,4,141,11,23,3.9,1131,68,[]
15:56,133,9,0,0,76,NHL,32,5,0,65,-1,50,0,2,0,1,0,1,16,2014-15,TOT,3,77,6,33,6.0,876,55,[]
16:30,61,4,0,0,35,NHL,32,3,0,42,-5,23,0,1,0,0,0,0,7,2014-15,CAR,1,35,3,5,4.3,330,20,[]
15:36,72,5,0,0,41,NHL,32,2,0,23,4,27,0,1,0,1,0,1,9,2014-15,WPG,2,42,3,28,7.4,546,35,[]
