shotsPercentage,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,age,game_winning_goals,league,shorthanded_goals,average_ice_time,games_played,points,awards,power_play_goals
0,1968-69,2,0,,0,0,0,0,0,0,DET,0,21,0,NHL,0,,1,0,[],0
0,1969-70,2,0,,0,0,0,0,0,0,DET,0,22,0,NHL,0,,3,0,[],0
3.2,1970-71,148,7,,0,62,0,1,-3,7,DET,2,23,1,NHL,0,,64,9,[],1
0.0,1971-72,0,0,,0,2,0,0,-2,0,DET,0,24,0,NHL,0,,3,0,[],0
1.4,1972-73,158,9,,0,72,2,1,-18,11,NYI,1,25,0,NHL,0,,47,12,[],0
1.6,1973-74,61,10,,0,63,0,1,-17,10,NYI,1,26,1,NHL,0,,70,11,[],0
4.9,1974-75,143,14,,0,81,0,3,28,14,NYI,4,27,0,NHL,1,,71,18,[],0
5.5,1975-76,151,17,,1,110,0,6,35,18,NYI,6,28,0,NHL,0,,0,24,[],0
3.4,1976-77,98,17,,1,118,0,3,29,18,NYI,4,29,0,NHL,1,,0,22,[],0
1.6,1977-78,94,23,,0,126,0,2,44,23,NYI,2,30,1,NHL,0,,78,25,[],0
3.6,1978-79,78,14,,0,56,0,2,30,14,NYI,2,31,1,NHL,0,,50,16,[],0
5.7,1979-80,59,19,,0,53,4,2,-13,23,QUE,3,32,0,NHL,0,,71,26,[],1
8.0,1980-81,142,11,,0,50,0,4,7,11,TOT,4,33,0,NHL,0,,69,15,[],0
0.0,1980-81,10,0,,0,6,0,0,-2,0,QUE,0,33,0,NHL,0,,6,0,[],0
9.1,1980-81,132,11,,0,44,0,4,9,11,STL,4,33,0,NHL,0,,63,15,[],0
0.0,1981-82,102,1,,0,15,0,0,-5,1,STL,0,34,0,NHL,0,,35,1,[],0
0,1982-83,2,0,,0,0,0,0,-3,0,STL,0,35,0,NHL,0,,8,0,[],0
