assists,team,goals,year,games_played,points,pim,age,plus_minus,league
29,HC Ytong Brno Jr.,38,1997-98,32,67,0,16,0,CzRep-Jr.
23,HC Trinec Jr.,28,1998-99,31,51,0,17,0,CzRep-Jr.
3,HC Zelezarny Trinec,2,1998-99,24,5,4,17,0,CzRep
4,Czech Republic,2,1998-99,6,6,8,17,0,WJ18-A
29,HC Ocelari Trinec,13,1999-00,46,42,42,18,0,CzRep
2,Czech Republic,3,1999-00,7,5,4,18,2,WJC-A
1,Czech Republic,2,1999-00,9,3,2,18,1,WC-A
29,Trinec Ocelari HC,13,1999-00,46,42,42,18,0,Czech
1,Czech Republic,3,2001-02,4,4,27,20,1,Olympics
3,HC Sparta Praha,1,2003-04,5,4,8,22,0,CzRep
0,Czech Republic,0,2003-04,3,0,4,22,-1,WC-A
3,Sparta Praha,1,2003-04,5,4,8,22,0,Czech
3,Czech Republic,3,2004-05,5,6,2,23,6,W-Cup
0,Dynamo Moscow,2,2004-05,10,2,14,23,0,Russia
8,2 Teams,15,2004-05,21,23,53,23,0,CzRep
4,Znojemsti Excalibur Orli,10,2004-05,12,14,16,23,5,Czech
4,Sparta Praha,5,2004-05,9,9,37,23,4,Czech
4,HC Znojemsti Orli Znojmo,10,2004-05,12,14,16,23,0,CzRep
4,HC Sparta Praha,5,2004-05,9,9,37,23,0,CzRep
2,Czech Republic,0,2009-10,5,2,0,28,-3,Olympics
4,Czech Republic,2,2010-11,6,6,4,29,3,WC-A
