power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
0,4,8,0,NHL,1981-82,18,1,WIN,,7,5,-5,0,13,,,7.7,1
1,3,5,0,NHL,1982-83,19,1,WIN,,4,8,-2,0,12,,,8.3,0
1,3,2,0,NHL,1983-84,20,1,WIN,,1,0,-6,0,15,,,6.7,0
1,3,3,0,NHL,1984-85,21,2,WIN,,1,4,1,0,8,,,25.0,1
0,3,3,0,NHL,1985-86,22,0,WIN,,3,0,-2,0,10,,,0.0,0
3,10,13,0,NHL,1986-87,23,5,WIN,,8,4,-4,0,39,,,12.8,2
2,5,7,0,NHL,1987-88,24,3,WIN,,4,16,-4,0,16,,,18.8,1
0,7,8,1,NHL,1989-90,26,3,WIN,,5,2,5,0,21,,,14.3,3
1,6,6,0,NHL,1990-91,27,2,BUF,,4,10,-3,0,19,,,10.5,1
0,7,7,0,NHL,1991-92,28,2,BUF,,5,0,3,0,24,,,8.3,2
3,8,14,0,NHL,1992-93,29,5,BUF,,9,2,0,0,31,,,16.1,2
0,7,7,0,NHL,1993-94,30,0,BUF,,7,4,-1,0,16,,,0.0,0
0,2,0,0,NHL,1994-95,31,0,BUF,,0,0,-1,0,3,,,0.0,0
1,12,9,0,NHL,1995-96,32,3,PHI,,6,12,0,0,48,,,6.3,2
1,17,7,1,NHL,1996-97,33,2,PHI,,5,0,-2,0,24,,,8.3,1
