assists,team,goals,year,games_played,points,pim,age,plus_minus,league
14,St. Albert Saints,4,1983-84,19,18,33,15,0,AJHL
23,Kamloops Jr. Oilers,10,1983-84,49,33,39,15,0,WHL
40,Kamloops Blazers,25,1984-85,66,65,72,16,0,WHL
85,Kamloops Blazers,34,1985-86,71,119,86,17,0,WHL
93,Kamloops Blazers,30,1986-87,61,123,139,18,0,WHL
2,Canada,2,1986-87,6,4,6,18,0,WJC-A
85,Kamloops Blazers,48,1987-88,63,133,142,19,0,WHL
8,Canada,1,1987-88,7,9,6,19,0,WJC-A
9,Maine Mariners,2,1988-89,21,11,41,20,0,AHL
0,HC Asiago,3,1990-91,2,3,9,22,0,Italy
33,2 Teams,10,1990-91,60,43,86,22,0,AHL
1,Maine Mariners,0,1990-91,5,1,13,22,0,AHL
32,Cape Breton Oilers,10,1990-91,55,42,73,22,0,AHL
55,Cape Breton Oilers,20,1991-92,56,75,26,23,0,AHL
65,Las Vegas Thunder,20,1995-96,78,85,101,27,0,IHL
1,Kolner Haie,0,1997-98,4,1,16,29,0,Germany
0,Kolner Haie,0,1997-98,1,0,2,29,0,EuroHL
52,Houston Aeros,19,1997-98,81,71,75,29,14,IHL
57,Houston Aeros,17,1998-99,76,74,90,30,14,IHL
16,Kansas City Blades,6,2000-01,46,22,21,32,0,IHL
43,Utah Grizzlies,18,2001-02,67,61,83,33,-5,AHL
42,Utah Grizzlies,15,2002-03,70,57,76,34,-14,AHL
35,Chicago Wolves,6,2003-04,78,41,62,35,1,AHL
39,Chicago Wolves,8,2004-05,72,47,50,36,9,AHL
5,2 Teams,1,2005-06,39,6,106,37,0,Finland
3,Tappara Tampere,1,2005-06,18,4,36,37,0,Finland
2,TPS Turku,0,2005-06,21,2,70,37,0,Finland
