goals_allowed_precentage,goals_saved_aboved_average,bad_start,year,goals_allowed,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
0,0,0,2009-10,0,0,0,0,0,0,0,0,Almtuna IS,0,0,0,0,18,Swe-1,0,0,0,0,0,0
0,0,0,2010-11,0,0,0,0,0,0,0,0,Almtuna IS,0,0,0,0,19,Swe-1,0,0,0,0,0,0
0,0,0,2011-12,0,0,0,0,0,0,0,0,Orebro HK,0,0,0,0,20,Swe-1,0,0,0,0,0,0
0,0,0,2011-12,0,0,0,0,0,0,0,1,Frolunda HC,0,0,0,0,20,SEL,0,0,0,0,0,0
0,0,0,2012-13,0,0,0,4,0,0,0,0,Milwaukee Admirals,0,0,0,0,21,AHL,0,0,0,0,0,0
0,0,0,2012-13,0,0,0,0,0,0,0,0,Cincinnati Cyclones,0,0,0,0,21,ECHL,0,0,0,0,0,0
0,0,0,2013-14,0,0,0,0,0,0,0,0,Milwaukee Admirals,0,0,0,0,22,AHL,0,0,0,0,0,0
0,0,0,2013-14,0,0,0,0,0,0,0,0,Cincinnati Cyclones,0,0,0,0,22,ECHL,0,0,0,0,0,0
0,0,0,2014-15,0,0,0,0,0,0,0,0,Milwaukee Admirals,0,0,0,0,23,AHL,0,0,0,0,0,0
0,0,0,2015-16,0,0,0,0,0,0,0,0,Hartford Wolf Pack,0,0,0,0,24,AHL,0,0,0,0,0,0
0,0,0,2016-17,0,0,0,0,0,0,0,0,Hartford Wolf Pack,0,0,0,0,25,AHL,0,0,0,0,0,0
