assists,team,goals,year,games_played,points,pim,age,plus_minus,league
9,Richfield Spartans,12,1987-88,22,21,10,15,0,High-MN
20,Richfield Spartans,22,1988-89,22,42,12,16,0,High-MN
27,Richfield Spartans,23,1989-90,24,50,49,17,0,High-MN
29,Richfield Spartans,32,1990-91,27,61,0,18,0,High-MN
28,University of Minnesota,25,1991-92,41,53,61,19,0,WCHA
15,University of Minnesota,12,1992-93,31,27,35,20,0,WCHA
16,United States,12,1993-94,59,28,30,21,0,Nat-Tm
0,United States,0,1993-94,8,0,6,21,0,Olympics
1,St. John\'s Maple Leafs,4,1993-94,6,5,4,21,0,AHL
20,St. John\'s Maple Leafs,16,1994-95,59,36,48,22,0,AHL
1,United States,1,1995-96,8,2,4,23,0,WC-A
4,St. John\'s Maple Leafs,5,1996-97,12,9,21,24,0,AHL
1,United States,0,1996-97,8,1,8,24,0,WC-A
2,United States,0,1998-99,6,2,0,26,0,WC-A
8,Syracuse Crunch,5,1999-00,20,13,16,27,2,AHL
1,United States,1,1999-00,7,2,12,27,3,WC-A
3,United States,3,2000-01,9,6,4,28,-3,WC-A
5,Houston Aeros,4,2003-04,31,9,19,31,-14,AHL
1,HK Riga 2000,1,2004-05,1,2,0,32,0,Latvia
2,HK Riga 2000,2,2004-05,6,4,26,32,0,BelOpen
