assists,team,goals,year,games_played,points,pim,age,plus_minus,league
1,Swift Current Broncos,0,1990-91,10,1,5,16,0,WHL
19,Swift Current Broncos,14,1991-92,72,33,44,17,0,WHL
18,2 Teams,29,1992-93,66,47,61,18,0,WHL
7,Swift Current Broncos,9,1992-93,20,16,31,18,0,WHL
11,Seattle Thunderbirds,20,1992-93,46,31,30,18,0,WHL
51,Seattle Thunderbirds,44,1993-94,71,95,110,19,0,WHL
52,Seattle Thunderbirds,49,1994-95,59,101,106,20,0,WHL
0,Hershey Bears,0,1994-95,4,0,0,20,0,AHL
15,2 Teams,10,1995-96,67,25,53,21,0,AHL
12,Hershey Bears,8,1995-96,46,20,36,21,0,AHL
3,Baltimore Bandits,2,1995-96,21,5,17,21,0,AHL
22,Baltimore Bandits,19,1996-97,67,41,88,22,0,AHL
30,Canada,20,1997-98,63,50,102,23,0,Nat-Tm
29,Indianapolis Ice,19,1998-99,79,48,81,24,-4,IHL
26,Cleveland Lumberjacks,22,1999-00,73,48,122,25,-5,IHL
4,Norfolk Admirals,1,2000-01,9,5,9,26,1,AHL
7,2 Teams,7,2002-03,22,14,26,28,-10,AHL
1,Chicago Wolves,1,2002-03,7,2,14,28,-2,AHL
6,Manitoba Moose,6,2002-03,15,12,12,28,-8,AHL
16,Krefeld Pinguine,10,2003-04,38,26,50,29,0,Germany
14,Krefeld Pinguine,16,2004-05,41,30,98,30,0,Germany
30,Krefeld Pinguine,18,2005-06,50,48,86,31,0,Germany
21,Kloten Flyers,12,2006-07,44,33,69,32,0,Swiss
21,Hannover Scorpions,16,2007-08,39,37,61,33,0,Germany
23,Hannover Scorpions,13,2008-09,51,36,58,34,0,Germany
18,Hannover Scorpions,12,2009-10,39,30,52,35,0,Germany
24,Hannover Scorpions,18,2010-11,49,42,40,36,0,Germany
