assists,team,goals,year,games_played,points,pim,age,plus_minus,league
21,Oshawa Generals,14,1945-46,27,35,8,18,0,OHA-Jr.
25,Oshawa Generals,28,1946-47,29,53,23,19,0,OHA-Jr.
37,Toronto Marlboros,29,1947-48,35,66,29,20,0,OHA-Jr.
19,Los Angeles Monarchs,17,1948-49,45,36,32,21,0,PCHL
36,Los Angeles Monarchs,24,1949-50,63,60,28,22,0,PCHL
49,Kansas City Royals,42,1950-51,63,91,67,23,0,USHL
16,Cleveland Barons,31,1951-52,48,47,19,24,0,AHL
34,Cleveland Barons,38,1952-53,64,72,40,25,0,AHL
0,Vancouver Canucks,0,1953-54,8,0,2,26,0,WHL
25,Montreal Royals,17,1954-55,53,42,27,27,0,QHL
19,Cleveland Barons,9,1955-56,54,28,43,28,0,AHL
48,2 Teams,25,1956-57,48,73,117,29,0,EOHL
12,Pembroke Lumber Kings,6,1956-57,23,18,44,29,0,EOHL
36,Belleville McFarlands,19,1956-57,25,55,73,29,0,EOHL
39,Belleville McFarlands,15,1957-58,51,54,55,30,0,EOHL
36,Belleville McFarlands,30,1958-59,46,66,31,31,0,EOHL
6,Canada,6,1958-59,8,12,4,31,0,WEC-A
22,Belleville McFarlands,23,1959-60,45,45,20,32,0,OHA-Sr.
