shotsPercentage,faceoff_loses,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,giveaways,total_shots,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,takeaways,faceoff_percentage,age,game_winning_goals,league,shorthanded_goals,blocks,average_ice_time,hits,games_played,faceoff_wins,points,awards,power_play_goals
0.0,0,2007-08,13,1,177,0,1,13,5,0,0,-2,1,CHI,0,0,0,20,0,NHL,0,9,13:37,8,13,0,1,[],0
6.7,0,2008-09,0,1,315,1,2,29,15,0,1,4,2,CHI,1,7,0,21,0,NHL,0,22,14:59,15,21,0,3,[],0
3.2,0,2009-10,20,14,1514,1,36,170,62,0,2,9,15,CHI,2,29,0,22,1,NHL,0,137,19:40,59,77,0,17,[],0
4.7,0,2010-11,39,7,1478,0,55,147,64,0,3,13,7,CHI,3,32,0,23,0,NHL,0,166,18:29,46,80,0,10,[],0
1.5,0,2011-12,14,13,1392,1,51,158,65,0,1,9,14,CHI,1,30,0,24,0,NHL,0,142,20:11,42,69,0,15,[],0
4.7,0,2012-13,22,8,962,0,40,99,43,0,2,15,8,CHI,2,29,0,25,0,NHL,0,94,20:54,26,46,0,10,[],0
4.1,0,2013-14,34,19,1724,3,100,211,98,0,3,11,22,CHI,4,21,0,26,1,NHL,1,157,21:17,39,81,0,26,[],0
3.1,0,2014-15,44,16,1795,0,70,237,97,0,3,25,16,CHI,3,41,0,27,1,NHL,0,127,21:53,39,82,0,19,"[{'link': '/awards/voting-2015.html#AS', 'name': 'AS-27'}]",0
2.6,0,2015-16,32,17,1813,3,65,184,77,2,2,13,22,CHI,2,31,0,28,0,NHL,0,151,22:23,32,81,0,24,[],0
8.2,0,2016-17,20,12,1569,1,70,135,61,0,5,12,13,CHI,5,23,0,29,0,NHL,0,181,21:30,23,73,0,18,[],0
