assists,team,goals,year,games_played,points,pim,age,plus_minus,league
35,Barrie Colts,40,1979-80,60,75,0,16,0,ON-Jr.B
19,Brantford Alexanders,15,1980-81,68,34,71,17,0,OMJHL
47,Brampton Battalion,34,1981-82,66,81,169,18,0,OHL
49,Brantford Alexanders,26,1982-83,63,75,128,19,0,OHL
0,Binghamton Whalers,0,1982-83,1,0,0,19,0,AHL
13,Binghamton Whalers,11,1983-84,64,24,92,20,0,AHL
26,Binghamton Whalers,19,1984-85,76,45,95,21,0,AHL
14,Binghamton Whalers,14,1985-86,40,28,79,22,0,AHL
32,Binghamton Whalers,9,1986-87,74,41,120,23,0,AHL
28,Flint Spirits,35,1987-88,64,63,49,24,0,IHL
39,Flint Spirits,33,1988-89,76,72,46,25,0,IHL
12,EV Landsberg,6,1989-90,13,18,14,26,0,W.Ger-2
