assists,team,goals,year,games_played,points,pim,age,plus_minus,league
0,TJ Vitkovice,0,1988-89,7,0,0,17,0,Czech
7,TJ Vitkovice,6,1989-90,43,13,0,18,0,Czech
0,Czechoslovakia,2,1989-90,4,2,2,18,0,WJC-A
13,Dukla Trencin,6,1990-91,53,19,0,19,0,Czech
2,Czechoslovakia,0,1990-91,6,2,0,19,0,WJC-A
22,Dukla Trencin,13,1991-92,51,35,32,20,0,Czech
33,TJ Vitkovice,35,1992-93,53,68,0,21,0,Czech
3,Czechoslovakia,1,1992-93,8,4,10,21,0,WC-A
22,Hershey Bears,7,1993-94,27,29,16,22,0,AHL
3,Czech Republic,0,1993-94,6,3,8,22,0,WC-A
27,Hershey Bears,22,1994-95,55,49,75,23,0,AHL
13,HC Vitkovice,9,1998-99,30,22,26,27,0,CzRep
5,HC Ocelari Trinec,1,1999-00,11,6,6,28,0,CzRep
3,EHC Freiburg,1,1999-00,5,4,16,28,0,German-2
