shotsPercentage,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,age,game_winning_goals,league,shorthanded_goals,average_ice_time,games_played,points,awards,power_play_goals
0.0,1970-71,0,0,,0,1,0,0,1,0,STL,0,25,0,NHL,0,,1,0,[],0
3.3,1971-72,10,5,,0,60,4,2,-1,9,STL,2,26,1,NHL,0,,47,11,[],0
0,1972-73,28,0,,0,0,0,6,0,45,WNJ,13,27,2,WHA,2,,77,58,"[{'link': '/awards/wha_all_star.html#1973', 'name': 'ASW-2'}]",5
0,1973-74,18,0,,0,0,0,2,0,19,WNJ,4,28,0,WHA,1,,51,23,[],1
8.8,1974-75,21,0,,0,80,0,6,-17,25,WNJ,7,29,0,WHA,0,,69,32,[],1
6.0,1975-76,26,0,,0,50,0,2,-6,18,WNJ,3,30,2,WHA,0,,76,21,[],1
9.5,1976-77,8,0,,0,63,0,6,-13,10,TOT,6,31,0,WHA,0,,79,16,[],0
9.5,1976-77,0,0,,0,21,0,2,-6,1,EDO,2,31,0,WHA,0,,21,3,[],0
9.5,1976-77,8,0,,0,42,0,4,-7,9,SDM,4,31,0,WHA,0,,58,13,[],0
7.7,1977-78,2,0,,0,13,0,1,17,4,WNJ,1,32,0,WHA,0,,19,5,[],0
