assists,team,goals,year,games_played,points,pim,age,plus_minus,league
0,Portland Winter Hawks,0,1998-99,2,0,2,17,0,WHL
7,Portland Winter Hawks,5,2000-01,16,12,14,19,7,WHL
0,Quebec Citadelles,0,2001-02,3,0,4,20,0,AHL
7,Hamilton Bulldogs,4,2002-03,21,11,12,21,1,AHL
3,Hamilton Bulldogs,2,2003-04,10,5,8,22,2,AHL
0,Dynamo Riga,2,2008-09,3,2,0,27,0,KHL
1,Dynamo Riga,4,2009-10,9,5,4,28,0,KHL
1,Ak Bars Kazan,2,2010-11,8,3,2,29,0,KHL
1,Dynamo Riga,3,2011-12,7,4,4,30,0,KHL
0,HC Lev Praha,0,2012-13,4,0,14,31,0,KHL
