assists,team,goals,year,games_played,points,pim,age,plus_minus,league
2,Wetaskiwin Canadians,1,1948-49,3,3,14,17,0,M-Cup
2,Moose Jaw Canucks,1,1949-50,4,3,8,18,0,WCJHL
3,Quebec Aces,1,1953-54,12,4,10,22,0,QHL
1,Quebec Aces,1,1953-54,5,2,2,22,0,Ed-Cup
4,Calgary Stampeders,1,1955-56,8,5,19,24,0,WHL
4,Calgary Stampeders,1,1957-58,14,5,27,26,0,WHL
0,Calgary Stampeders,1,1958-59,8,1,9,27,0,WHL
0,Calgary Stampeders,0,1960-61,5,0,9,29,0,WHL
4,Calgary Stampeders,0,1961-62,7,4,2,30,0,WHL
4,Denver Invaders,3,1963-64,6,7,6,32,0,WHL
4,Victoria Maple Leafs,1,1964-65,12,5,28,33,0,WHL
7,Victoria Maple Leafs,8,1965-66,14,15,14,34,0,WHL
