goals_allowed_precentage,goals_saved_aboved_average,bad_start,year,goals_allowed,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
0,0,0,1992-93,47,669,0,0,0,0,0,0,TPS Turku Jr.,0,0,0,4.22,18,Fin-Jr.,0,0,12,0,7,4
0,0,0,1993-94,57,1082,0,0,0,0,0,0,Kiekko-67 Turku Jr.,0,0,0,3.16,19,Fin-Jr.,0,0,18,0,0,0
0,0,0,1993-94,7,190,0,0,0,0,0,0,Kiekko-67 Turku,0,0,0,2.21,19,Finland-2,0,0,3,0,0,0
0,0,0,1993-94,0,2,0,0,0,0,0,0,TPS Turku,0,0,0,0.00,19,Finland,0,0,1,0,0,0
0,0,0,1994-95,53,1049,0,0,0,0,0,0,Kiekko-67 Turku,0,0,0,3.03,20,Finland-2,0,0,19,0,0,0
0,0,0,1994-95,52,664,1,0,0,0,0,0,2 Teams,0,0,0,4.70,20,Fin-Jr.,0,0,11,0,3,7
0,0,0,1994-95,5,125,1,0,0,0,0,0,TPS Turku Jr.,0,0,0,2.40,20,Fin-Jr.,0,0,2,0,1,0
0,0,0,1994-95,47,539,0,0,0,0,0,0,Kiekko-67 Turku Jr.,0,0,0,5.23,20,Fin-Jr.,0,0,9,0,2,7
0,0,0,1995-96,34,777,0,0,0,0,0,0,TPS Turku Jr.,1,0,0,2.63,21,Fin-Jr.,0,0,13,0,8,5
0,0,0,1995-96,39,968,2,0,0,0,0,0,Kiekko-67 Turku,1,0,0,2.42,21,Finland-2,0,0,16,0,11,3
0,0,0,1995-96,34,945,1,0,0,0,0,0,TPS Turku,2,0,0,2.16,21,Finland,0,0,16,0,14,1
0,0,0,1996-97,101,2917,6,0,0,0,0,0,TPS Turku,6,0,0,2.08,22,Finland,0,0,48,0,31,11
0,0,0,1997-98,103,1796,5,0,0,886,989,0,2 Teams,1,0,0,3.44,23,IHL,.896,0,35,0,13,13
0,0,0,1997-98,20,290,2,0,0,122,142,0,Detroit Vipers,0,0,0,4.14,23,IHL,.859,0,6,0,2,2
0,0,0,1997-98,83,1506,3,0,0,764,847,0,Indianapolis Ice,1,0,0,3.31,23,IHL,.902,0,29,0,11,11
0,0,0,1998-99,107,2071,3,4,0,919,1026,2,2 Teams,1,0,0,3.10,24,IHL,.896,0,38,2,21,12
0,0,0,1998-99,26,643,1,0,0,228,254,0,Detroit Vipers,1,0,0,2.43,24,IHL,.898,0,12,0,7,3
0,0,0,1998-99,81,1428,2,4,0,691,772,2,Cincinnati Cyclones,0,0,0,3.40,24,IHL,.895,0,26,2,14,9
0,0,0,1999-00,107,2948,4,30,0,1240,1347,1,Grand Rapids Griffins,4,0,0,2.18,25,IHL,.921,0,52,1,29,15
0,0,0,2001-02,9,179,0,0,0,0,0,0,Finland,0,0,0,3.02,27,Olympics,0,0,3,0,1,2
0,0,0,2002-03,4,160,0,2,0,0,0,0,Finland,2,0,0,1.50,28,WC-A,0,0,3,0,0,0
0,0,0,2005-06,52,894,2,2,0,0,0,0,Columbia Inferno,0,0,0,3.49,31,ECHL,0,0,15,0,6,7
0,0,0,2005-06,56,1284,0,2,0,0,0,1,2 Teams,1,0,0,2.62,31,AHL,0,0,22,1,13,9
0,0,0,2005-06,19,314,0,0,0,0,0,0,Chicago Wolves,0,0,0,3.63,31,AHL,0,0,6,0,2,4
0,0,0,2005-06,37,970,0,2,0,0,0,1,Portland Pirates,1,0,0,2.29,31,AHL,0,0,16,1,11,5
0,0,0,2006-07,121,2888,11,8,0,0,0,5,TPS Turku,3,0,0,2.51,32,Finland,0,0,48,5,21,16
