shotsPercentage,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,age,game_winning_goals,league,shorthanded_goals,average_ice_time,games_played,points,awards,power_play_goals
0.0,1988-89,51,2,,0,9,0,0,-3,2,NJD,0,22,0,NHL,0,,15,2,[],0
10.5,1989-90,149,3,,0,19,0,2,-2,3,NJD,2,23,0,NHL,0,,42,5,[],0
0.0,1990-91,27,1,,0,3,0,0,1,1,NJD,0,24,0,NHL,0,,8,1,[],0
0.0,1993-94,144,1,,0,13,0,0,-2,1,BOS,0,27,0,NHL,0,,36,1,[],0
0.0,1994-95,103,6,,0,30,0,0,-3,6,BOS,0,28,0,NHL,0,,34,6,[],0
5.3,1995-96,162,9,,0,57,0,3,14,9,CGY,3,29,1,NHL,0,,70,12,[],0
0.0,1996-97,151,5,,0,40,0,0,-2,5,TOT,0,30,0,NHL,0,,52,5,[],0
0.0,1996-97,117,4,,0,33,0,0,2,4,CGY,0,30,0,NHL,0,,39,4,[],0
0.0,1996-97,34,1,,0,7,0,0,-4,1,TBL,0,30,0,NHL,0,,13,1,[],0
0.0,1997-98,177,4,,0,26,0,0,-2,4,TOT,0,31,0,NHL,0,,51,4,[],0
0.0,1997-98,122,3,,0,21,0,0,-4,3,TBL,0,31,0,NHL,0,,44,3,[],0
0.0,1997-98,55,1,,0,5,0,0,2,1,VAN,0,31,0,NHL,0,,7,1,[],0
0.0,1998-99,90,2,353,0,27,0,0,-4,2,TOT,0,32,0,NHL,0,9:32,37,2,[],0
0.0,1998-99,63,1,231,0,20,0,0,-3,1,VAN,0,32,0,NHL,0,8:54,26,1,[],0
0.0,1998-99,27,1,121,0,7,0,0,-1,1,PHX,0,32,0,NHL,0,11:02,11,1,[],0
0.0,1999-00,11,0,74,0,4,0,0,-5,0,WSH,0,33,0,NHL,0,10:37,7,0,[],0
