bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,saves
0,NOHA,9,2 Teams,530,23,2,0,0,16,0,0,0,0,6,0,0,0,0,0,1921-22,0,1.81,0,0
0,NOHA,6,Sudbury Wolves,350,23,2,0,0,12,0,0,0,0,3,0,0,0,0,0,1921-22,0,2.06,0,0
0,NOHA,3,Sudbury Legionnaires,180,23,0,0,0,4,0,0,0,0,3,0,0,0,0,0,1921-22,0,1.33,0,0
0,NOHA,8,Sudbury Wolves,478,24,4,0,0,23,0,0,0,2,4,0,0,0,0,0,1922-23,0,2.89,0,0
0,Can-Pro,23,Niagara Falls Cataracts,1429,28,15,0,0,64,0,0,1,1,6,0,0,0,0,0,1926-27,0,2.69,0,0
0,Can-Pro,40,2 Teams,2500,29,16,0,0,79,0,0,8,8,16,0,0,0,0,0,1927-28,0,1.90,0,0
0,Can-Pro,14,Niagara Falls Cataracts,890,29,6,0,0,33,0,0,5,1,3,0,0,0,0,0,1927-28,0,2.22,0,0
0,Can-Pro,26,Toronto Ravinas,1610,29,10,0,0,46,0,0,3,7,13,0,0,0,0,0,1927-28,0,1.71,0,0
0,Can-Pro,42,London Panthers,2580,30,22,0,0,109,0,0,4,3,16,0,0,0,0,0,1928-29,0,2.53,0,0
0,IHL,10,London Panthers,350,31,0,0,0,35,0,0,0,0,0,0,0,0,0,0,1929-30,0,6.00,0,0
0,Can-Pro,15,Kitchener Flying Dutchmen,910,31,8,0,0,39,0,0,0,2,7,0,0,0,0,0,1929-30,0,2.57,0,0
0,OPHL,19,Guelph Maple Leafs,1180,32,10,0,0,53,0,0,1,1,8,0,0,0,0,0,1930-31,0,2.69,0,0
0,IHL,13,Syracuse Stars,830,32,10,0,0,51,0,0,2,1,1,0,0,0,0,0,1930-31,0,3.69,0,0
0,NOHA,10,Sudbury Legionnaires,600,36,0,0,0,42,0,0,0,0,0,0,0,0,0,0,1934-35,0,4.20,0,0
0,NOHA,7,2 Teams,420,37,1,0,0,18,0,0,0,1,0,0,0,0,0,0,1935-36,0,2.57,0,0
0,NOHA,6,Falconbridge Falcons,360,37,0,0,0,12,0,0,0,1,0,0,0,0,0,0,1935-36,0,2.00,0,0
0,NOHA,1,Sudbury Wolves,60,37,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1935-36,0,6.00,0,0
