year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1996-97,16,30,76,27,0,ON-Jr.A,52,Kanata Valley Lasers,57
1997-98,17,28,16,32,0,OHL,65,Sault Ste. Marie Greyhounds,60
1998-99,18,27,56,34,3,OHL,68,Sault Ste. Marie Greyhounds,61
1999-00,19,43,58,34,16,OHL,65,Sault Ste. Marie Greyhounds,77
2000-01,20,12,38,14,-20,AHL,77,Louisville Panthers,26
2001-02,21,16,56,16,6,AHL,64,Utah Grizzlies,32
2002-03,22,14,37,17,5,AHL,64,San Antonio Rampage,31
2003-04,23,6,12,1,-4,AHL,22,San Antonio Rampage,7
2004-05,24,14,72,20,-20,AHL,77,San Antonio Rampage,34
2005-06,25,5,22,6,0,Germany,31,Hamburg Freezers,11
2006-07,26,1,28,8,0,Sweden,51,Mora IK,9
2007-08,27,5,65,8,0,Austria,27,Olimpija Ljubljana,13
2007-08,27,3,6,4,0,Italy,11,HC Bolzano,7
2008-09,28,11,16,26,0,Italy,36,HC Bolzano,37
2009-10,29,16,24,13,0,Italy,38,HC Bolzano,29
2010-11,30,23,65,31,19,CHL,66,Missouri Mavericks,54
2011-12,31,11,17,11,-1,CHL,31,Missouri Mavericks,22
