year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1959-60,17,24,12,28,0,OHA-Jr.,48,Toronto Marlboros,52
1960-61,18,30,90,20,0,OHA-Jr.,46,Toronto Marlboros,50
1960-61,18,0,0,0,0,EPHL,1,Sudbury Wolves,0
1960-61,18,0,2,0,0,AHL,6,Rochester Americans,0
1961-62,19,28,80,27,0,OHA-Jr.,31,Toronto Marlboros,55
1961-62,19,3,6,1,0,AHL,5,Rochester Americans,4
1962-63,20,13,14,14,0,EPHL,21,Sudbury Wolves,27
1962-63,20,6,19,22,0,AHL,47,Rochester Americans,28
1963-64,21,22,37,35,0,WHL,64,Denver Invaders,57
1963-64,21,0,0,1,0,AHL,5,Rochester Americans,1
1964-65,22,27,60,29,0,CPHL,67,Tulsa Oilers,56
1965-66,23,24,30,26,0,AHL,71,Pittsburgh Hornets,50
1966-67,24,29,28,42,0,AHL,68,Pittsburgh Hornets,71
