year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1995-96,15,8,15,7,0,High-RI,15,Mount St. Charles Mounties,15
1996-97,16,16,20,14,0,High-RI,15,Mount St. Charles Mounties,30
1997-98,17,10,32,13,0,High-RI,15,Mount St. Charles Mounties,23
1998-99,18,5,71,19,0,CCHA,38,University of Michigan,24
1998-99,18,0,6,0,0,WJC-A,6,United States,0
1999-00,19,8,115,26,0,CCHA,38,University of Michigan,34
1999-00,19,0,4,0,-2,WJC-A,7,United States,0
2000-01,20,10,74,20,0,CCHA,43,University of Michigan,30
2001-02,21,2,45,13,-10,AHL,27,Cleveland Barons,15
2002-03,22,7,38,16,-9,AHL,49,2 Teams,23
2002-03,22,3,12,5,-13,AHL,19,Cleveland Barons,8
2002-03,22,4,26,11,4,AHL,30,Providence Bruins,15
2003-04,23,1,6,1,2,WC-A,9,United States,2
2004-05,24,12,46,17,6,AHL,78,Rochester Americans,29
2005-06,25,10,94,20,-2,AHL,73,Rochester Americans,30
2006-07,26,2,48,9,0,Germany,30,Eisbaren Berlin,11
2007-08,27,3,46,19,-17,AHL,70,Lake Erie Monsters,22
2008-09,28,1,14,2,0,KHL,12,HK MVD Moscow Region,3
2008-09,28,2,20,7,0,Finland,29,Lukko Rauma,9
2009-10,29,4,14,8,0,CzRep,42,HC Eaton Pardubice,12
2010-11,30,0,20,3,0,CzRep,47,HC Eaton Pardubice,3
