league,games_played,game_winning_goals,age,shots,points,power_play_assists,total_ice_time,team,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,shorthanded_goals,year,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
NHL,71,3,24,73,26,3,,WSH,[],16.4,12,14,18,12,0,1992-93,,0,124,0,11
NHL,68,1,25,97,35,4,,WSH,[],16.5,11,19,4,16,0,1993-94,,5,149,0,15
NHL,40,4,26,85,20,2,,WSH,[],16.5,13,6,-2,14,0,1994-95,,1,65,0,4
NHL,68,2,27,155,41,9,,WSH,[],11.6,13,23,8,18,0,1995-96,,5,103,0,14
NHL,78,7,28,170,48,6,,TOT,[],14.7,10,23,3,25,1,1996-97,,14,118,0,17
NHL,11,0,28,12,5,0,,WSH,[],16.7,1,3,-2,2,0,1996-97,,1,13,0,3
NHL,67,7,28,158,43,6,,COL,[],14.6,9,20,5,23,1,1996-97,,13,105,0,14
NHL,23,2,29,31,10,3,,COL,[],9.7,2,7,-4,3,0,1997-98,,1,22,0,4
NHL,78,3,30,135,53,4,1287,TOT,[],14.8,17,33,23,20,0,1998-99,16:30,3,98,0,29
NHL,12,0,30,11,4,0,166,COL,[],18.2,1,2,-6,2,0,1998-99,13:48,1,20,0,2
NHL,66,3,30,124,49,4,1121,PHI,[],14.5,16,31,29,18,0,1998-99,16:59,2,78,0,27
NHL,57,0,31,92,25,1,778,PHI,[],9.8,8,16,8,9,0,1999-00,13:38,1,82,0,15
NHL,8,0,32,11,0,0,88,PHI,[],0.0,0,0,-5,0,0,2000-01,11:00,0,4,0,0
