year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1999-00,16,1,59,4,0,USHL,54,Green Bay Gamblers,5
2000-01,17,3,58,10,0,USHL,52,Green Bay Gamblers,13
2001-02,18,2,20,5,0,WCHA,37,University of North Dakota,7
2002-03,19,1,26,6,0,WCHA,39,University of North Dakota,7
2002-03,19,0,6,3,2,WJC-A,7,United States,3
2003-04,20,7,40,14,0,WCHA,41,University of North Dakota,21
2004-05,21,6,66,11,0,WCHA,45,University of North Dakota,17
2005-06,22,2,46,11,-17,AHL,59,San Antonio Rampage,13
2006-07,23,0,23,2,-6,AHL,24,San Antonio Rampage,2
2007-08,24,0,0,0,4,AHL,5,San Antonio Rampage,0
2008-09,25,2,40,4,0,AHL,58,San Antonio Rampage,6
