year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1988-89,16,19,40,15,0,WHL,68,Spokane Chiefs,34
1989-90,17,20,76,36,0,WHL,69,Spokane Chiefs,56
1990-91,18,39,86,38,0,WHL,71,Spokane Chiefs,77
1991-92,19,28,110,32,0,WHL,58,Spokane Chiefs,60
1991-92,19,2,4,2,0,WJC-A,7,Canada,4
1992-93,20,16,20,31,0,AHL,79,Capital District Islanders,47
1993-94,21,9,36,14,0,IHL,71,Salt Lake Golden Eagles,23
1994-95,22,13,37,16,0,IHL,72,Denver Grizzlies,29
1995-96,23,5,31,2,0,AHL,29,Rochester Americans,7
1995-96,23,4,18,8,0,IHL,29,2 Teams,12
1995-96,23,4,14,5,0,IHL,22,Detroit Vipers,9
1995-96,23,0,4,3,0,IHL,7,Los Angeles Ice Dogs,3
1996-97,24,15,24,23,0,Nat-Tm,55,Canada,38
1997-98,25,3,6,4,0,Germany,39,EV Landshut,7
1998-99,26,12,22,6,0,Germany,52,EV Landshut,18
1999-00,27,4,24,16,0,Germany,52,Adler Mannheim,20
1999-00,27,0,2,0,0,EuroHL,6,Adler Mannheim,0
2000-01,28,15,59,18,0,Germany,56,Adler Mannheim,33
2001-02,29,15,48,16,0,Germany,58,Adler Mannheim,31
2002-03,30,8,78,8,0,Germany,46,Adler Mannheim,16
2003-04,31,7,40,10,0,Germany,49,Adler Mannheim,17
