year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1929-30,16,5,0,1,0,OHA-Jr.,2,Niagara Falls Cataracts,6
1929-30,16,7,2,8,0,M-Cup,6,Niagara Falls Cataracts,15
1930-31,17,3,4,0,0,OHA-Jr.,2,Niagara Falls Cataracts,3
1931-32,18,0,2,0,0,OHA-Sr.,2,Niagara Falls Cataracts,0
1932-33,19,2,13,1,0,OHA-Sr.,5,Niagara Falls Cataracts,3
1932-33,19,3,2,1,0,Al-Cup,6,Niagara Falls Cataracts,4
1938-39,25,0,2,1,0,IAHL,3,Springfield Indians,1
1939-40,26,0,0,2,0,IAHL,3,Springfield Indians,2
1940-41,27,2,0,0,0,AHL,3,Springfield Indians,2
1941-42,28,0,0,2,0,AHL,5,Springfield Indians,2
1942-43,29,2,4,12,0,AHL,9,Buffalo Bisons,14
1943-44,30,4,2,2,0,AHL,9,Buffalo Bisons,6
