year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1941-42,19,1,10,1,0,NOJHA,9,Falconbridge Falcons,2
1942-43,20,3,42,3,0,OHA-Jr.,20,Brantford Lions,6
1943-44,21,6,17,13,0,AHL,51,Indianapolis Capitols,19
1944-45,22,4,95,8,0,AHL,59,Indianapolis Capitols,12
1945-46,23,0,10,0,0,AHL,5,St. Louis Flyers,0
1945-46,23,8,127,7,0,USHL,47,Tulsa Oilers,15
1946-47,24,3,69,13,0,USHL,59,Fort Worth Rangers,16
1947-48,25,8,61,15,0,USHL,57,Fort Worth Rangers,23
1948-49,26,2,116,22,0,USHL,62,Fort Worth Rangers,24
1949-50,27,4,88,7,0,PCHL,51,Oakland/L.A. Blades,11
1950-51,28,1,25,9,0,PCHL,18,Vancouver Canucks,10
1950-51,28,1,49,8,0,AHL,39,2 Teams,9
1950-51,28,1,45,7,0,AHL,28,New Haven Eagles,8
1950-51,28,0,4,1,0,AHL,11,Springfield Indians,1
