year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1973-74,17,38,66,51,0,ON-Jr.A,44,Seneca Flyers,89
1974-75,18,31,83,24,0,OMJHL,53,Hamilton Fincups,55
1975-76,19,42,82,37,0,OMJHL,66,Hamilton Fincups,79
1976-77,20,52,96,61,0,OMJHL,65,St. Catharines Fincups,113
1976-77,20,0,4,2,0,WJC-A,7,Canada,2
1977-78,21,15,12,9,0,AHL,62,New Haven Nighthawks,24
1978-79,22,0,0,0,0,AHL,1,New Haven Nighthawks,0
1978-79,22,26,54,27,0,IHL,66,Toledo Goaldiggers,53
1979-80,23,32,58,31,0,IHL,66,2 Teams,63
1979-80,23,1,0,2,0,IHL,3,Dayton Gems,3
1979-80,23,31,58,29,0,IHL,63,Toledo Goaldiggers,60
