year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1998-99,15,1,4,0,-1,WHL,7,Spokane Chiefs,1
1999-00,16,1,37,3,1,WHL,39,Spokane Chiefs,4
2000-01,17,13,63,14,8,WHL,33,Spokane Chiefs,27
2001-02,18,34,71,33,6,WHL,68,Spokane Chiefs,67
2002-03,19,27,43,28,22,WHL,56,2 Teams,55
2002-03,19,2,11,2,0,WHL,7,Spokane Chiefs,4
2002-03,19,25,32,26,22,WHL,49,Red Deer Rebels,51
2003-04,20,13,57,13,-4,AHL,66,Norfolk Admirals,26
2004-05,21,18,74,31,10,AHL,80,Norfolk Admirals,49
2005-06,22,26,61,19,-6,AHL,72,Norfolk Admirals,45
2006-07,23,12,37,20,0,AHL,63,2 Teams,32
2006-07,23,2,15,8,2,AHL,19,Norfolk Admirals,10
2006-07,23,10,22,12,-2,AHL,44,Portland Pirates,22
2007-08,24,13,35,14,-17,AHL,76,2 Teams,27
2007-08,24,5,13,5,-8,AHL,34,Portland Pirates,10
2007-08,24,8,22,9,-9,AHL,42,Bridgeport Sound Tigers,17
2008-09,25,15,60,13,0,Germany,46,ERC Ingolstadt,28
2009-10,26,21,27,20,-7,AHL,69,Rockford IceHogs,41
2010-11,27,20,45,15,-12,AHL,77,Abbotsford Heat,35
2011-12,28,11,40,16,0,Sweden-2,52,Orebro HK,27
