year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1930-31,17,1,2,0,0,MCJHL,2,Montreal AAA,1
1930-31,17,0,0,0,0,MCHL,1,Montreal AAA,0
1930-31,17,4,4,3,0,M-Cup,4,Montreal AAA,7
1931-32,18,2,6,0,0,MCJHL,2,Montreal AAA,2
1931-32,18,0,0,0,0,MCHL,1,Montreal AC,0
1931-32,18,5,2,5,0,M-Cup,6,Montreal AAA,10
1932-33,19,0,11,2,0,MCHL,6,Montreal Royals,2
1932-33,19,0,11,2,0,Al-Cup,6,Montreal Royals,2
1933-34,20,1,2,0,0,MSHL,3,Charlottetown Abbies,1
1937-38,24,0,0,2,0,IAHL,2,Pittsburgh Hornets,2
1939-40,26,2,9,5,0,IAHL,9,Pittsburgh Hornets,7
1940-41,27,2,0,1,0,AHL,3,Springfield Indians,3
1941-42,28,1,4,6,0,AHL,5,Springfield Indians,7
1942-43,29,4,12,8,0,NBDHL,4,Moncton RCAF Flyers,12
1943-44,30,2,0,1,0,Exhib.,2,Saint John Garrison,3
1943-44,30,6,0,3,0,Al-Cup,3,Saint John Beavers,9
1944-45,31,3,0,1,0,PEI-Sr.,2,Charlottetown #2,4
1944-45,31,11,0,4,0,NSAPC,5,New Glasgow Bombers,15
1944-45,31,5,0,5,0,Al-Cup,3,New Glasgow Bombers,10
1946-47,33,2,0,1,0,NSAPC,3,New Glasgow Bombers,3
1946-47,33,0,0,0,0,Al-Cup,2,New Glasgow Bombers,0
1947-48,34,4,2,6,0,YCHL,4,U. of New Brunswick,10
1948-49,35,6,0,5,0,YCHL,5,U. of New Brunswick,11
1949-50,36,0,0,0,0,SNBHL,1,U. of New Brunswick,0
