year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1942-43,18,11,17,9,0,OHA-Jr.,24,Hamilton Whizzers,20
1943-44,19,3,43,8,0,AHL,47,Providence Reds,11
1944-45,20,16,37,40,0,AHL,57,Providence Reds,56
1945-46,21,12,30,16,0,AHL,49,Providence Reds,28
1946-47,22,3,64,11,0,AHL,64,Pittsburgh Hornets,14
1947-48,23,10,93,20,0,AHL,68,Pittsburgh Hornets,30
1948-49,24,13,90,34,0,AHL,68,Pittsburgh Hornets,47
1949-50,25,11,82,17,0,AHL,70,Pittsburgh Hornets,28
1950-51,26,3,46,8,0,OMHL,24,2 Teams,11
1950-51,26,0,0,0,0,OMHL,2,Hamilton Tigers,0
1950-51,26,3,46,8,0,OMHL,22,Toronto Marlboros,11
1951-52,27,9,95,22,0,OHA-Sr.,48,Hamilton/Brantford,31
1952-53,28,6,73,20,0,OHA-Sr.,48,Brantford Redmen,26
1953-54,29,8,74,28,0,OHA-Sr.,44,Hamilton Tigers,36
1954-55,30,15,74,17,0,OHA-Sr.,49,Kitchener Dutchmen,32
1955-56,31,7,50,28,0,OHA-Sr.,51,2 Teams,35
1955-56,31,2,50,6,0,OHA-Sr.,7,Stratford Indians,8
1955-56,31,5,0,22,0,OHA-Sr.,44,Kitchener-Waterloo Dutchmen,27
1956-57,32,9,24,15,0,OHA-Sr.,36,Stratford Indians,24
