year,age,goals,pim,assists,plus_minus,league,games_played,team,points
2003-04,17,9,42,10,13,USHL,56,Sioux City Musketeers,19
2004-05,18,30,112,31,26,USHL,54,Sioux City Musketeers,61
2005-06,19,4,31,15,0,CCHA,29,Michigan State Spartans,19
2006-07,20,18,49,25,0,CCHA,42,Michigan State Spartans,43
2007-08,21,20,50,23,0,CCHA,42,Michigan State Spartans,43
2008-09,22,18,51,49,-2,AHL,73,Portland Pirates,67
2009-10,23,1,0,0,-2,WC-A,6,United States,1
2010-11,24,12,52,37,6,AHL,67,2 Teams,49
2010-11,24,12,44,30,3,AHL,53,Connecticut Whale,42
2010-11,24,0,8,7,3,AHL,14,Rochester Americans,7
2011-12,25,13,44,27,-8,AHL,53,2 Teams,40
2011-12,25,3,18,6,-2,AHL,18,San Antonio Rampage,9
2011-12,25,10,26,21,-6,AHL,35,Worcester Sharks,31
2012-13,26,13,14,24,8,AHL,37,Worcester Sharks,37
2013-14,27,4,14,11,-10,AHL,30,Portland Pirates,15
2014-15,28,11,56,48,7,AHL,75,Hershey Bears,59
