year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1984-85,17,0,6,0,0,USSR,8,Dynamo Riga,0
1985-86,18,5,16,2,0,USSR,23,Dynamo Riga,7
1986-87,19,5,10,4,0,USSR,26,Dynamo Riga,9
1986-87,19,6,20,2,0,WJC-A,6,Soviet Union,8
1987-88,20,14,28,4,0,USSR,50,Dynamo Riga,18
1988-89,21,6,41,7,0,USSR,39,Dynamo Riga,13
1988-89,21,1,4,1,0,Super-S,7,Dynamo Riga,2
1989-90,22,9,22,11,0,USSR,46,Dynamo Riga,20
1989-90,22,0,0,0,0,Fr-Tour,1,Dynamo Riga,0
1990-91,23,16,46,17,0,USSR,46,Dynamo Riga,33
1990-91,23,0,0,0,0,Fr-Tour,1,Dynamo Riga,0
1991-92,24,7,20,9,0,CIS,27,Rigas Stars,16
1992-93,25,23,28,14,0,CIS,42,Pardaugava Riga,37
1992-93,25,4,6,5,0,Latvia,7,Pardaugava Riga II,9
1992-93,25,8,4,13,0,WC-C,7,Latvia,21
1993-94,26,24,16,38,0,AHL,57,Cape Breton Oilers,62
1994-95,27,4,4,0,0,CIS,11,Pardaugava Riga,4
1994-95,27,0,4,1,0,Swiss,2,EHC Biel-Bienne,1
1994-95,27,0,15,0,0,AHL,1,Providence Bruins,0
1995-96,28,28,42,21,0,Latvia,29,Riga/Alianse,49
1995-96,28,3,20,6,0,WC-B,7,Latvia,9
1996-97,29,39,52,52,0,German-2,47,EV Landsberg,91
1996-97,29,4,6,4,0,WC-A,8,Latvia,8
1997-98,30,14,57,17,0,Finland,46,Tappara Tampere,31
1997-98,30,3,2,1,0,WC-A,6,Latvia,4
1998-99,31,10,18,23,0,Germany,38,Revier Lowen Oberhausen,33
1998-99,31,2,12,1,0,WC-A,6,Latvia,3
1999-00,32,17,66,36,0,Germany,67,Revier Lowen Oberhausen,53
1999-00,32,1,0,2,0,WC-A,7,Latvia,3
2000-01,33,10,48,16,0,Germany,57,Revier Lowen Oberhausen,26
2000-01,33,1,4,0,-1,WC-A,6,Latvia,1
2001-02,34,15,52,19,0,Germany,56,Berlin Capitals,34
2001-02,34,0,2,3,-3,Olympics,4,Latvia,3
2001-02,34,1,2,0,-2,WC-A,6,Latvia,1
2002-03,35,3,8,4,0,EEHL,8,HK Riga 2000,7
2002-03,35,2,10,4,0,Russia,17,SKA St. Petersburg,6
2002-03,35,2,0,1,3,WC-A,6,Latvia,3
2003-04,36,1,8,1,0,EEHL,4,HK Riga 2000,2
2003-04,36,0,2,4,0,Russia-2,6,Molot-Prikamje Perm,4
2003-04,36,11,35,5,0,Latvia,10,Vilki Riga,16
2003-04,36,2,4,0,0,Sweden-2,5,IK Nykopings Hockey,2
2003-04,36,1,12,1,2,WC-A,7,Latvia,2
2004-05,37,0,2,0,0,BelOpen,4,HK Gomel,0
2004-05,37,10,20,11,0,Latvia,9,Vilki Riga,21
2004-05,37,1,22,5,0,German-2,12,REV Bremerhaven,6
