league,games_played,game_winning_goals,age,shots,points,power_play_assists,total_ice_time,team,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,shorthanded_goals,year,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
NHL,10,0,24,0,6,0,,NYR,[],0,0,6,0,0,0,1960-61,,0,2,0,0
NHL,8,0,25,0,0,0,,BOS,[],0,0,0,0,0,0,1961-62,,0,6,0,0
NHL,70,2,27,0,37,0,,BOS,[],0,10,25,0,12,0,1963-64,,2,91,0,0
NHL,64,0,28,0,26,0,,BOS,[],0,5,20,0,6,1,1964-65,,0,86,0,0
NHL,70,3,29,0,15,0,,TOR,[],0,6,6,0,9,1,1965-66,,2,54,0,0
NHL,60,3,30,0,36,0,,NYR,[],0,5,25,0,11,1,1966-67,,5,58,0,0
NHL,73,2,31,175,35,2,,NYR,[],8.6,13,20,5,15,0,1967-68,,2,82,1,17
NHL,2,0,32,3,0,0,,NYR,[],0.0,0,0,0,0,0,1968-69,,0,2,0,0
NHL,53,0,33,89,14,0,,NYR,[],4.5,3,10,4,4,0,1969-70,,1,47,0,10
NHL,52,4,34,129,53,9,,VAN,"[{'link': '/awards/voting-1971.html#hart', 'name': 'Hart-7'}]",16.3,12,32,-1,21,1,1970-71,,8,84,0,23
NHL,78,1,35,160,61,13,,VAN,[],15.0,16,37,-2,24,3,1971-72,,5,48,0,24
NHL,47,1,36,78,28,3,,VAN,[],11.5,5,19,-14,9,0,1972-73,,4,38,0,16
NHL,52,2,37,77,21,4,,VAN,[],10.4,7,13,-30,8,0,1973-74,,1,30,0,9
