league,games_played,game_winning_goals,age,shots,points,power_play_assists,total_ice_time,team,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,shorthanded_goals,year,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
NHL,75,3,22,136,45,22,,MTL,"[{'link': '/awards/voting-1985.html#calder', 'name': 'Calder-11'}]",7.4,3,35,-3,10,1,1984-85,,6,30,1,12
NHL,62,1,23,69,30,5,,MTL,[],10.1,4,23,9,7,0,1985-86,,3,36,0,18
NHL,56,1,24,73,23,5,,TOT,[],8.2,5,17,-9,6,0,1986-87,,1,22,2,10
NHL,1,0,24,2,0,0,,MTL,[],0.0,0,0,1,0,0,1986-87,,0,0,0,0
NHL,55,1,24,71,23,5,,BUF,[],8.5,5,17,-10,6,0,1986-87,,1,22,2,10
NHL,56,1,25,88,34,19,,NJD,[],5.7,3,29,6,5,0,1987-88,,2,46,2,8
NHL,74,0,26,190,66,28,,NJD,"[{'link': '/awards/voting-1989.html#AS', 'name': 'AS-20'}]",8.4,11,50,11,16,0,1988-89,,5,38,1,21
NHL,71,1,27,156,52,18,,TOT,[],9.6,5,37,-9,15,1,1989-90,,9,29,0,19
NHL,1,0,27,0,0,0,,NJD,[],0,0,0,-1,0,0,1989-90,,0,0,0,0
NHL,70,1,27,156,52,18,,TOR,[],9.6,5,37,-8,15,1,1989-90,,9,29,0,19
NHL,51,0,28,99,30,14,,TOT,[],4.0,1,26,-25,4,0,1990-91,,3,28,0,12
NHL,19,0,28,23,3,1,,TOR,[],0.0,0,3,-12,0,0,1990-91,,0,8,0,2
NHL,32,0,28,76,27,13,,VAN,[],5.3,1,23,-13,4,0,1990-91,,3,20,0,10
NHL,74,1,29,132,56,29,,NYI,[],6.8,3,47,-18,9,0,1991-92,,6,30,0,18
NHL,52,0,30,128,38,17,,NYI,[],6.3,5,30,9,8,0,1992-93,,3,38,0,13
NHL,66,1,31,141,40,21,,NYI,[],6.4,4,31,7,9,0,1993-94,,5,47,0,10
NHL,22,1,32,44,7,2,,MDA,[],9.1,3,3,-13,4,0,1994-95,,1,6,0,1
