bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,saves
0,ON-Jr.A,24,Wellington Dukes,1377,15,2,0,0,44,0,0,3,2,19,0,0,0,0,0,2001-02,0,1.92,0,0
0,OHL,28,Owen Sound Attack,1321,16,10,0,0,82,0,0,3,0,8,0,0,0,0,0,2002-03,0,3.72,0,0
0,OHL,37,Owen Sound Attack,1810,17,10,0,0,82,0,0,1,4,17,0,0,0,0,0,2003-04,0,2.72,0,0
0,OHL,46,2 Teams,2477,18,12,0,4,118,0,0,4,1,25,4,0,0,0,.902,2004-05,1209,2.86,0,1091
0,OHL,25,Owen Sound Attack,1423,18,7,0,4,70,0,0,2,0,15,4,0,0,0,.895,2004-05,668,2.95,0,598
0,OHL,21,Barrie Colts,1054,18,5,0,0,48,0,0,2,1,10,0,0,0,0,.911,2004-05,541,2.73,0,493
0,OHL,59,Barrie Colts,3340,19,17,0,1,142,0,0,4,6,36,1,0,0,0,.915,2005-06,1675,2.55,2,1533
0,AHL,19,Syracuse Crunch,852,20,7,0,0,40,0,0,1,3,5,0,0,0,0,.894,2006-07,378,2.82,2,338
0,ECHL,10,Dayton Bombers,556,20,5,0,0,32,0,0,1,0,3,0,0,0,0,.874,2006-07,253,3.45,0,221
0,AHL,15,Syracuse Crunch,848,21,2,0,0,30,0,0,3,1,9,0,0,0,0,.932,2007-08,438,2.12,0,408
0,ECHL,14,Elmira Jackals,754,21,4,0,0,27,0,0,1,0,7,0,0,0,0,.932,2007-08,398,2.15,0,371
0,AHL,45,Syracuse Crunch,2469,22,18,0,2,115,0,0,2,2,19,2,0,0,0,.913,2008-09,1317,2.79,0,1202
0,AHL,26,Syracuse Crunch,1362,23,15,0,1,90,0,0,1,1,7,1,0,0,0,.882,2009-10,761,3.96,0,671
0,Austria,4,EC Red Bull Salzburg,0,24,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2010-11,0,0,0,0
