bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,saves
0,High-MA,7,Newton High School,294,17,1,0,0,15,0,0,1,0,5,0,0,0,0,0,1914-15,0,3.06,0,0
0,High-MA,7,Newton High School,280,18,2,0,0,9,0,0,0,2,5,0,0,0,0,0,1915-16,0,1.93,0,0
0,High-MA,8,Newton High School,320,19,0,0,0,10,0,0,1,4,7,0,0,0,0,0,1916-17,0,1.88,0,0
0,USNHL,11,Boston Navy Yard,455,20,4,0,0,22,0,0,0,3,7,0,0,0,0,0,1917-18,0,2.90,0,0
0,Exhib.,3,Boston A.A. Unicorns,135,22,1,0,0,8,0,0,0,0,2,0,0,0,0,0,1919-20,0,3.56,0,0
0,BCSHL,1,Boston A.A. Unicorns,45,24,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1921-22,0,2.67,0,0
0,USAHA,9,Boston A.A. Unicorns,405,25,0,0,0,10,0,0,0,4,9,0,0,0,0,0,1922-23,0,1.48,0,0
0,USAHA,6,Boston A.A. Unicorns,270,26,3,0,0,10,0,0,0,1,3,0,0,0,0,0,1923-24,0,2.22,0,0
0,Olympics,5,United States,225,26,1,0,0,6,0,0,0,4,4,0,0,0,0,0,1923-24,0,1.60,0,0
0,USAHA,21,Boston A.A. Unicorns,955,27,6,0,0,40,0,0,0,4,15,0,0,0,0,0,1924-25,0,2.51,0,0
0,Can-Am,4,Providence Reds,250,30,3,0,0,12,0,0,0,0,1,0,0,0,0,0,1927-28,0,2.88,0,0
0,NEHL,22,Lewiston St. Doms,1350,30,12,0,0,42,0,0,2,5,8,0,0,0,0,0,1927-28,0,1.87,0,0
0,NEHL,4,Lewiston St. Doms,240,31,1,0,0,9,0,0,0,0,3,0,0,0,0,0,1928-29,0,2.25,0,0
0,Can-Am,1,Providence Reds,60,32,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1929-30,0,2.00,0,0
0,Can-Am,4,Boston Tigers,240,33,3,0,0,13,0,0,0,0,1,0,0,0,0,0,1930-31,0,3.25,0,0
