year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1935-36,16,4,2,2,0,TBJHL,4,Port Arthur Bruins,6
1936-37,17,6,5,3,0,TBJHL,3,Port Arthur Bruins,9
1937-38,18,6,0,0,0,TBJHL,5,Port Arthur Bruins,6
1938-39,19,3,4,3,0,TBSHL,6,Port Arthur Bearcats,6
1938-39,19,22,6,4,0,Al-Cup,13,Port Arthur Bearcats,26
1939-40,20,5,2,1,0,TBSHL,3,Port Arthur Bearcats,6
1939-40,20,13,6,10,0,Al-Cup,12,Port Arthur Bearcats,23
1940-41,21,2,0,1,0,TBSHL,4,Port Arthur Bearcats,3
1941-42,22,12,6,21,0,Al-Cup,17,Port Arthur Bearcats,33
1942-43,23,7,4,4,0,TBSHL,3,Port Arthur Bearcats,11
1942-43,23,6,2,10,0,Al-Cup,8,Port Arthur Bearcats,16
1944-45,25,5,0,8,0,KCHL,4,Barriefield Bears,13
