year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1977-78,17,3,4,0,0,USSR,6,Khimik Voskresensk,3
1977-78,17,2,4,1,0,EJC-A,5,Soviet Union,3
1978-79,18,3,12,4,0,USSR,32,Khimik Voskresensk,7
1978-79,18,2,8,4,0,WJC-A,5,Soviet Union,6
1979-80,19,11,24,7,0,USSR,42,Khimik Voskresensk,18
1979-80,19,3,4,3,0,WJC-A,5,Soviet Union,6
1980-81,20,22,36,23,0,USSR,43,Khimik Voskresensk,45
1981-82,21,4,8,1,0,Can-Cup,7,Soviet Union,5
1981-82,21,31,6,22,0,USSR,46,CSKA Moscow,53
1981-82,21,4,2,6,0,WEC-A,10,Soviet Union,10
1982-83,22,20,20,19,0,USSR,44,CSKA Moscow,39
1982-83,22,4,0,2,0,Super-S,6,Soviet Union,6
1982-83,22,5,4,7,0,WEC-A,9,Soviet Union,12
1983-84,23,15,30,26,0,USSR,43,CSKA Moscow,41
1983-84,23,1,6,4,0,Olympics,6,Soviet Union,5
1984-85,24,1,6,2,0,Can-Cup,5,Soviet Union,3
1984-85,24,18,20,28,0,USSR,40,CSKA Moscow,46
1984-85,24,2,8,4,0,WEC-A,10,Soviet Union,6
1985-86,25,21,33,31,0,USSR,40,CSKA Moscow,52
1985-86,25,7,4,1,0,WEC-A,10,Soviet Union,8
1986-87,26,20,34,26,0,USSR,39,CSKA Moscow,46
1986-87,26,0,0,2,0,RV-87,2,Soviet Union,2
1986-87,26,4,2,8,0,WEC-A,10,Soviet Union,12
1987-88,27,1,6,2,0,Can-Cup,9,Soviet Union,3
1987-88,27,25,54,32,0,USSR,51,CSKA Moscow,57
1987-88,27,4,4,9,0,Olympics,8,Soviet Union,13
1988-89,28,15,22,12,0,USSR,31,CSKA Moscow,27
1988-89,28,0,6,7,0,Super-S,7,CSKA Moscow,7
1988-89,28,3,11,0,0,WEC-A,8,Soviet Union,3
1992-93,32,10,40,21,0,Swiss,23,HC Lugano,31
1996-97,36,0,2,4,0,W-Cup,5,Russia,4
2001-02,41,0,4,3,3,Olympics,6,Russia,3
2005-06,45,1,2,3,0,Sweden-3,2,Brunflo IK,4
