league,games_played,game_winning_goals,age,shots,points,power_play_assists,total_ice_time,team,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,shorthanded_goals,year,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
NHL,4,0,19,3,1,0,,CBH,[],0.0,0,1,1,0,0,1980-81,,0,0,0,1
NHL,3,0,20,1,0,0,,CBH,[],0.0,0,0,0,0,0,1981-82,,0,0,0,0
NHL,0,9,21,195,90,20,,CBH,"[{'link': '/awards/voting-1983.html#AS', 'name': 'AS-7'}, {'link': '/awards/calder.html#1983', 'name': None}]",22.1,30,47,44,43,0,1982-83,,13,28,0,27
NHL,0,3,22,206,75,15,,CBH,[],17.0,22,40,-1,35,0,1983-84,,13,34,0,25
NHL,0,6,23,206,86,9,,CBH,"[{'link': '/awards/voting-1985.html#AS', 'name': 'AS-5'}, {'link': '/awards/voting-1985.html#byng', 'name': 'Byng-8'}]",22.3,32,40,17,46,0,1984-85,,14,16,0,31
NHL,80,3,24,184,76,16,,CBH,[],16.8,17,45,9,31,1,1985-86,,13,47,2,27
NHL,80,4,25,216,84,11,,CHI,"[{'link': '/awards/voting-1987.html#byng', 'name': 'Byng-18'}]",13.0,18,56,20,28,0,1986-87,,10,22,1,44
NHL,0,0,26,245,89,19,,CHI,"[{'link': '/awards/voting-1988.html#AS', 'name': 'AS-6'}, {'link': '/awards/voting-1988.html#AS', 'name': 'AS-10'}, {'link': '/awards/voting-1988.html#byng', 'name': 'Byng-21'}]",16.7,13,48,-5,41,7,1987-88,,21,42,4,25
NHL,0,2,27,269,87,18,,CHI,"[{'link': '/awards/voting-1989.html#AS', 'name': 'AS-9'}, {'link': '/awards/voting-1989.html#selke', 'name': 'Selke-17'}]",16.0,23,44,2,43,1,1988-89,,19,54,9,17
NHL,0,4,28,265,90,18,,CHI,"[{'link': '/awards/voting-1990.html#AS', 'name': 'AS-14'}, {'link': '/awards/voting-1990.html#AS', 'name': 'AS-8'}, {'link': '/awards/voting-1990.html#byng', 'name': 'Byng-11'}]",11.7,21,59,25,31,2,1989-90,,8,40,1,40
NHL,80,9,29,231,101,26,,CHI,"[{'link': '/awards/voting-1991.html#AS', 'name': 'AS-4'}, {'link': '/awards/voting-1991.html#hart', 'name': 'Hart-5'}, {'link': '/awards/voting-1991.html#selke', 'name': 'Selke-3'}]",19.0,25,57,37,44,2,1990-91,,17,79,6,25
NHL,80,3,30,292,74,21,,CHI,"[{'link': '/awards/voting-1992.html#selke', 'name': 'Selke-8'}]",9.9,16,45,10,29,2,1991-92,,11,65,3,21
NHL,84,6,31,228,70,12,,CHI,"[{'link': '/awards/voting-1993.html#AS', 'name': 'AS-6'}, {'link': '/awards/voting-1993.html#byng', 'name': 'Byng-17'}, {'link': '/awards/voting-1993.html#selke', 'name': 'Selke-10'}]",15.4,17,35,23,35,4,1992-93,,14,48,3,20
NHL,68,7,32,146,60,15,,NYR,"[{'link': '/awards/voting-1994.html#selke', 'name': 'Selke-13'}]",14.4,11,39,14,21,4,1993-94,,6,41,2,22
NHL,47,4,33,116,29,4,,NYR,[],12.1,10,15,8,14,1,1994-95,,3,16,0,11
