league,games_played,game_winning_goals,age,shots,points,power_play_assists,total_ice_time,team,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,shorthanded_goals,year,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
NHL,4,0,20,0,0,0,,MTL,[],0,0,0,0,0,0,1962-63,,0,0,0,0
NHL,21,0,21,0,2,0,,MTL,[],0,0,1,0,1,0,1963-64,,1,43,0,0
NHL,68,4,22,0,37,0,,MTL,[],0,17,16,0,21,0,1964-65,,4,82,0,0
NHL,64,3,23,0,33,0,,MTL,[],0,15,18,0,15,0,1965-66,,0,67,0,0
NHL,69,3,24,0,35,0,,MTL,[],0,17,16,0,19,0,1966-67,,2,82,0,0
NHL,42,0,25,70,11,0,,MTL,[],2.9,2,9,0,2,0,1967-68,,0,28,0,9
NHL,67,3,26,268,62,11,,MNS,[],9.3,20,37,-10,25,0,1968-69,,5,106,0,26
NHL,75,4,27,262,47,8,,MNS,[],9.2,17,23,-17,24,1,1969-70,,6,109,0,15
NHL,64,2,28,120,23,3,,MTL,[],8.3,10,13,-8,10,0,1970-71,,0,90,0,10
NHL,77,4,29,169,38,1,,MTL,[],11.8,16,18,9,20,3,1971-72,,1,64,2,15
NHL,73,0,30,132,34,0,,MTL,[],8.3,11,23,29,11,0,1972-73,,0,30,1,22
NHL,39,1,31,71,24,0,,MTL,[],23.9,16,7,11,17,0,1973-74,,1,52,0,7
NHL,64,1,32,154,30,0,,TOT,[],7.1,11,19,5,11,0,1974-75,,0,44,0,19
NHL,8,0,32,8,3,0,,MTL,[],12.5,1,2,-2,1,0,1974-75,,0,6,0,2
NHL,56,1,32,146,27,0,,STL,[],6.8,10,17,7,10,0,1974-75,,0,38,0,17
NHL,67,0,33,169,38,3,,STL,[],7.7,10,25,7,13,0,1975-76,,3,48,0,22
NHL,0,2,34,212,48,2,,STL,[],13.7,27,19,5,29,1,1976-77,,1,22,0,17
NHL,69,0,35,116,21,3,,STL,[],6.9,6,13,-19,8,0,1977-78,,2,20,0,10
