league,games_played,game_winning_goals,age,shots,points,power_play_assists,total_ice_time,team,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,shorthanded_goals,year,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
NHL,14,0,20,23,1,0,,DET,[],0.0,0,1,-2,0,0,1976-77,,0,23,0,1
NHL,75,4,21,240,60,22,,DET,"[{'link': '/awards/voting-1978.html#calder', 'name': 'Calder-5'}]",7.9,11,41,-8,19,1,1977-78,,7,95,1,18
NHL,79,0,22,271,67,23,,DET,"[{'link': '/awards/voting-1979.html#AS', 'name': 'AS-10'}, {'link': '/awards/voting-1979.html#norris', 'name': 'Norris-10'}]",6.6,10,49,-20,18,2,1978-79,,6,169,1,25
NHL,80,2,23,293,66,18,,DET,"[{'link': '/awards/voting-1980.html#AS', 'name': 'AS-12'}]",7.5,15,44,-7,22,0,1979-80,,7,101,1,25
NHL,78,0,24,297,58,11,,DET,"[{'link': '/awards/voting-1981.html#AS', 'name': 'AS-14'}, {'link': '/awards/voting-1981.html#norris', 'name': 'Norris-18'}]",9.1,19,31,-35,27,0,1980-81,,8,153,0,20
NHL,80,2,25,311,60,9,,DET,"[{'link': '/awards/voting-1982.html#AS', 'name': 'AS-22'}]",6.8,15,39,-17,21,2,1981-82,,4,112,1,29
NHL,0,1,26,271,74,13,,DET,"[{'link': '/awards/voting-1983.html#AS', 'name': 'AS-24'}]",8.1,14,52,-7,22,1,1982-83,,7,104,1,38
NHL,78,5,27,262,62,17,,DET,"[{'link': '/awards/voting-1984.html#AS', 'name': 'AS-15'}]",8.8,13,39,-10,23,0,1983-84,,10,122,0,22
NHL,77,0,28,233,62,16,,DET,"[{'link': '/awards/voting-1985.html#AS', 'name': 'AS-16'}, {'link': '/awards/voting-1985.html#norris', 'name': 'Norris-10'}]",7.3,10,45,7,17,0,1984-85,,7,139,2,27
NHL,80,0,29,246,67,19,,TOT,[],8.9,10,45,-31,22,0,1985-86,,12,117,1,25
NHL,67,0,29,205,60,18,,DET,[],9.3,8,41,-36,19,0,1985-86,,11,109,1,22
NHL,13,0,29,41,7,1,,BOS,[],7.3,2,4,5,3,0,1985-86,,1,8,0,3
NHL,66,1,30,209,36,12,,BOS,[],5.7,3,24,9,12,0,1986-87,,9,95,0,12
NHL,62,1,31,151,34,7,,BOS,[],6.6,4,24,3,10,1,1987-88,,5,93,1,16
NHL,54,1,32,115,38,15,,TOT,[],7.8,2,29,-10,9,1,1988-89,,6,68,0,14
NHL,10,0,32,19,9,2,,EDM,[],10.5,1,7,1,2,1,1988-89,,0,15,0,5
NHL,33,1,32,77,20,9,,NYI,[],9.1,1,13,-8,7,0,1988-89,,6,35,0,4
NHL,11,0,32,19,9,4,,MNS,[],0.0,0,9,-3,0,0,1988-89,,0,18,0,5
NHL,1,0,33,1,0,0,,BUF,[],0.0,0,0,1,0,0,1989-90,,0,0,0,0
