year,age,goals,pim,assists,plus_minus,league,games_played,team,points
2002-03,16,1,14,3,0,U-17,16,U.S. National Team Development Program,4
2002-03,16,2,53,5,0,NAHL,46,U.S. National Team Development Program,7
2003-04,17,5,94,19,2,OHL,62,Kitchener Rangers,24
2004-05,18,4,44,18,16,OHL,44,Kitchener Rangers,22
2005-06,19,7,146,40,8,OHL,56,Kitchener Rangers,47
2005-06,19,1,6,1,-2,AHL,7,Providence Bruins,2
2006-07,20,11,60,26,-2,AHL,64,Providence Bruins,37
2007-08,21,9,79,27,11,AHL,60,Providence Bruins,36
2008-09,22,5,38,16,-3,AHL,35,2 Teams,21
2008-09,22,5,36,16,-2,AHL,33,Providence Bruins,21
2008-09,22,0,2,0,-1,AHL,2,Norfolk Admirals,0
2009-10,23,8,105,16,-18,AHL,68,Norfolk Admirals,24
2010-11,24,7,137,21,4,AHL,69,Toronto Marlies,28
2011-12,25,1,12,4,6,AHL,9,Toronto Marlies,5
2012-13,26,1,43,9,0,Swiss,49,ZSC Lions Zurich,10
