year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1980-81,16,0,0,6,0,Sweden-3,12,Stocksunds IF,6
1981-82,17,13,0,20,0,Sweden-3,22,Stocksunds IF,33
1981-82,17,1,0,3,0,WJC-A,5,Sweden,4
1982-83,18,1,2,5,0,Sweden,28,AIK Solna,6
1983-84,19,4,6,5,0,Sweden,22,AIK Solna,9
1984-85,20,13,6,13,0,Sweden,34,AIK Solna,26
1985-86,21,11,12,13,0,Sweden,35,AIK Solna,24
1986-87,22,25,12,15,0,Sweden-2,32,AIK Solna,40
1987-88,23,3,2,5,0,AHL,11,Maine Mariners,8
1988-89,24,1,12,13,0,AHL,26,Maine Mariners,14
1989-90,25,7,12,9,0,Sweden,22,AIK Solna,16
1989-90,25,6,7,11,0,AHL,19,Cape Breton Oilers,17
1990-91,26,11,40,14,0,Sweden,37,AIK Solna,25
1991-92,27,4,12,11,0,Sweden,38,AIK Solna,15
1992-93,28,7,22,7,0,Sweden,40,MoDo HK Ornskoldsvik,14
1993-94,29,13,30,24,0,Sweden-2,37,AIK Solna,37
1994-95,30,4,16,11,0,Sweden,35,AIK Solna,15
1995-96,31,0,2,0,0,Sweden,6,AIK Solna,0
1996-97,32,0,2,0,0,Sweden,2,Sodertalje SK,0
