year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1972-73,18,6,92,12,0,OHA-Jr.,62,London Knights,18
1973-74,19,10,100,30,0,OHA-Jr.,48,London Knights,40
1974-75,20,2,83,16,0,AHL,59,2 Teams,18
1974-75,20,1,59,13,0,AHL,36,Baltimore Clippers,14
1974-75,20,1,24,3,0,AHL,23,Springfield Kings,4
1975-76,21,4,83,14,0,AHL,53,Springfield Indians,18
1976-77,22,2,73,8,0,AHL,47,Rhode Island Reds,10
1977-78,23,1,72,5,0,CHL,27,Phoenix Roadrunners,6
1977-78,23,1,74,9,0,AHL,49,2 Teams,10
1977-78,23,1,22,4,0,AHL,16,Hampton Gulls,5
1977-78,23,0,52,5,0,AHL,33,Philadelphia Firebirds,5
1978-79,24,4,109,12,0,NEHL,38,Hampton Aces,16
1979-80,25,0,2,1,0,AHL,3,Hershey Bears,1
1979-80,25,0,20,1,0,EHL,5,Hampton Aces,1
1980-81,26,0,14,2,0,AHL,12,Hershey Bears,2
1980-81,26,0,6,1,0,CHL,11,Oklahoma City Stars,1
1980-81,26,0,24,6,0,EHL,21,Hampton Aces,6
1983-84,29,3,65,13,0,IHL,57,Muskegon Mohawks,16
