age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
20,SC,19.6,6,6,1,NHL,20,0,1985-86,0,51,10,,4,68,,MTL,16
21,,9.1,2,9,7,NHL,17,0,1986-87,0,44,4,,2,41,,MTL,13
22,,10.7,3,2,-2,NHL,11,0,1987-88,2,28,3,,0,20,,MTL,5
23,,8.7,4,3,0,NHL,18,0,1988-89,1,46,4,,0,58,,MTL,7
24,,4.2,1,3,2,NHL,11,0,1989-90,1,24,1,,0,38,,MTL,4
25,,16.7,2,0,-3,NHL,7,0,1990-91,1,24,4,,2,34,,NJD,4
26,,12.1,3,3,1,NHL,7,0,1991-92,0,33,4,,1,26,,NJD,7
27,,13.3,1,0,-3,NHL,5,0,1992-93,0,15,2,,1,19,,NJD,2
28,,14.0,7,11,4,NHL,20,0,1993-94,2,50,7,,0,44,,NJD,18
29,SC,20.0,0,3,12,NHL,0,0,1994-95,3,65,0,,0,20,,NJD,16
30,SC,6.2,2,7,5,NHL,19,0,1995-96,0,81,5,,3,55,,COL,12
31,,17.8,0,10,7,NHL,17,0,1996-97,0,73,0,,4,32,,COL,23
32,,10.3,2,3,2,NHL,7,0,1997-98,1,29,3,,1,8,,COL,6
33,,4.3,2,11,5,NHL,19,0,1998-99,0,69,3,370,1,26,,COL,14
34,SC,5.1,3,6,7,NHL,0,0,1999-00,0,78,4,437,1,28,,NJD,10
36,,0.0,0,0,-2,NHL,5,0,2001-02,0,13,0,85,0,2,,PHX,0
37,,0.0,0,1,-1,NHL,7,0,2002-03,0,6,0,80,0,10,,DAL,1
43,,0.0,0,0,0,NHL,1,0,2008-09,0,1,0,5,0,0,2,SJS,0
